"Statistic","Year","Local Government District","Pay Rate","Working Pattern","All Persons","Females","Males"
"Number of Jobs (Thousands)",2019,"Mid and East Antrim","Hourly (excluding overtime)","All",52,26,26
"Number of Jobs (Thousands)",2019,"Mid and East Antrim","Hourly (excluding overtime)","Full-Time",34,13,21
"Number of Jobs (Thousands)",2019,"Mid and East Antrim","Hourly (excluding overtime)","Part-Time",18,13,4
"Number of Jobs (Thousands)",2019,"Mid and East Antrim","Weekly","All",52,26,26
"Number of Jobs (Thousands)",2019,"Mid and East Antrim","Weekly","Full-Time",34,13,21
"Number of Jobs (Thousands)",2019,"Mid and East Antrim","Weekly","Part-Time",18,13,4
"Number of Jobs (Thousands)",2019,"Mid Ulster","Hourly (excluding overtime)","All",65,25,40
"Number of Jobs (Thousands)",2019,"Mid Ulster","Hourly (excluding overtime)","Full-Time",49,14,34
"Number of Jobs (Thousands)",2019,"Mid Ulster","Hourly (excluding overtime)","Part-Time",17,11,6
"Number of Jobs (Thousands)",2019,"Mid Ulster","Weekly","All",65,25,40
"Number of Jobs (Thousands)",2019,"Mid Ulster","Weekly","Full-Time",49,14,34
"Number of Jobs (Thousands)",2019,"Mid Ulster","Weekly","Part-Time",17,11,6
"Number of Jobs (Thousands)",2019,"Newry, Mourne and Down","Hourly (excluding overtime)","All",65,35,30
"Number of Jobs (Thousands)",2019,"Newry, Mourne and Down","Hourly (excluding overtime)","Full-Time",44,18,26
"Number of Jobs (Thousands)",2019,"Newry, Mourne and Down","Hourly (excluding overtime)","Part-Time",22,17,5
"Number of Jobs (Thousands)",2019,"Newry, Mourne and Down","Weekly","All",65,35,30
"Number of Jobs (Thousands)",2019,"Newry, Mourne and Down","Weekly","Full-Time",44,18,26
"Number of Jobs (Thousands)",2019,"Newry, Mourne and Down","Weekly","Part-Time",22,17,5
"Number of Jobs (Thousands)",2019,"Ards and North Down","Hourly (excluding overtime)","All",47,28,19
