"Statistic","Year","Local Government District","Pay Rate","Working Pattern","All Persons","Females","Males"
"Number of Jobs (Thousands)",2021,"Northern Ireland","Weekly","Part-Time",312,230,81
"Number of Jobs (Thousands)",2021,"Antrim and Newtownabbey","Hourly (excluding overtime)","All",77,40,36
"Number of Jobs (Thousands)",2021,"Antrim and Newtownabbey","Hourly (excluding overtime)","Full-Time",54,23,31
"Number of Jobs (Thousands)",2021,"Antrim and Newtownabbey","Hourly (excluding overtime)","Part-Time",23,17,5
"Number of Jobs (Thousands)",2021,"Antrim and Newtownabbey","Weekly","All",77,40,36
"Number of Jobs (Thousands)",2021,"Antrim and Newtownabbey","Weekly","Full-Time",54,23,31
"Number of Jobs (Thousands)",2021,"Antrim and Newtownabbey","Weekly","Part-Time",23,17,5
"Number of Jobs (Thousands)",2021,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","All",116,62,54
"Number of Jobs (Thousands)",2021,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","Full-Time",78,34,44
"Number of Jobs (Thousands)",2021,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","Part-Time",38,28,10
"Number of Jobs (Thousands)",2021,"Armagh City, Banbridge and Craigavon","Weekly","All",116,62,54
"Number of Jobs (Thousands)",2021,"Armagh City, Banbridge and Craigavon","Weekly","Full-Time",78,34,44
"Number of Jobs (Thousands)",2021,"Armagh City, Banbridge and Craigavon","Weekly","Part-Time",38,28,10
"Number of Jobs (Thousands)",2021,"Belfast","Hourly (excluding overtime)","All",314,156,159
"Number of Jobs (Thousands)",2021,"Belfast","Hourly (excluding overtime)","Full-Time",243,103,140
"Number of Jobs (Thousands)",2021,"Belfast","Hourly (excluding overtime)","Part-Time",71,52,19
"Number of Jobs (Thousands)",2021,"Belfast","Weekly","All",314,156,159
"Number of Jobs (Thousands)",2021,"Belfast","Weekly","Full-Time",243,103,140
"Number of Jobs (Thousands)",2021,"Belfast","Weekly","Part-Time",71,52,19
"Number of Jobs (Thousands)",2021,"Causeway Coast and Glens","Hourly (excluding overtime)","All",59,33,26
"Number of Jobs (Thousands)",2021,"Causeway Coast and Glens","Hourly (excluding overtime)","Full-Time",38,16,22
"Number of Jobs (Thousands)",2021,"Causeway Coast and Glens","Hourly (excluding overtime)","Part-Time",21,16,NA
"Number of Jobs (Thousands)",2021,"Causeway Coast and Glens","Weekly","All",59,33,26
"Number of Jobs (Thousands)",2021,"Causeway Coast and Glens","Weekly","Full-Time",38,16,22
"Number of Jobs (Thousands)",2021,"Causeway Coast and Glens","Weekly","Part-Time",21,16,NA
"Number of Jobs (Thousands)",2021,"Derry City and Strabane","Hourly (excluding overtime)","All",76,41,35
"Number of Jobs (Thousands)",2021,"Derry City and Strabane","Hourly (excluding overtime)","Full-Time",50,22,28
"Number of Jobs (Thousands)",2021,"Derry City and Strabane","Hourly (excluding overtime)","Part-Time",26,18,7
"Number of Jobs (Thousands)",2021,"Derry City and Strabane","Weekly","All",76,41,35
"Number of Jobs (Thousands)",2021,"Derry City and Strabane","Weekly","Full-Time",50,22,28
"Number of Jobs (Thousands)",2021,"Derry City and Strabane","Weekly","Part-Time",26,18,7
"Number of Jobs (Thousands)",2021,"Fermanagh and Omagh","Hourly (excluding overtime)","All",58,32,26
"Number of Jobs (Thousands)",2021,"Fermanagh and Omagh","Hourly (excluding overtime)","Full-Time",37,16,21
"Number of Jobs (Thousands)",2021,"Fermanagh and Omagh","Hourly (excluding overtime)","Part-Time",21,16,NA
"Number of Jobs (Thousands)",2021,"Fermanagh and Omagh","Weekly","All",58,32,26
"Number of Jobs (Thousands)",2021,"Fermanagh and Omagh","Weekly","Full-Time",37,16,21
"Number of Jobs (Thousands)",2021,"Fermanagh and Omagh","Weekly","Part-Time",21,16,NA
"Number of Jobs (Thousands)",2021,"Lisburn and Castlereagh","Hourly (excluding overtime)","All",83,42,41
"Number of Jobs (Thousands)",2021,"Lisburn and Castlereagh","Hourly (excluding overtime)","Full-Time",60,24,36
"Number of Jobs (Thousands)",2021,"Lisburn and Castlereagh","Hourly (excluding overtime)","Part-Time",24,18,NA
"Number of Jobs (Thousands)",2021,"Lisburn and Castlereagh","Weekly","All",83,42,41
"Number of Jobs (Thousands)",2021,"Lisburn and Castlereagh","Weekly","Full-Time",60,24,36
"Number of Jobs (Thousands)",2021,"Lisburn and Castlereagh","Weekly","Part-Time",24,18,NA
"Number of Jobs (Thousands)",2021,"Mid and East Antrim","Hourly (excluding overtime)","All",58,31,27
"Number of Jobs (Thousands)",2021,"Mid and East Antrim","Hourly (excluding overtime)","Full-Time",37,15,22
"Number of Jobs (Thousands)",2021,"Mid and East Antrim","Hourly (excluding overtime)","Part-Time",21,16,NA
"Number of Jobs (Thousands)",2021,"Mid and East Antrim","Weekly","All",58,31,27
"Number of Jobs (Thousands)",2021,"Mid and East Antrim","Weekly","Full-Time",37,15,22
"Number of Jobs (Thousands)",2021,"Mid and East Antrim","Weekly","Part-Time",21,16,NA
"Number of Jobs (Thousands)",2021,"Mid Ulster","Hourly (excluding overtime)","All",78,31,47
"Number of Jobs (Thousands)",2021,"Mid Ulster","Hourly (excluding overtime)","Full-Time",58,18,41
"Number of Jobs (Thousands)",2021,"Mid Ulster","Hourly (excluding overtime)","Part-Time",19,13,7
"Number of Jobs (Thousands)",2021,"Mid Ulster","Weekly","All",78,31,47
"Number of Jobs (Thousands)",2021,"Mid Ulster","Weekly","Full-Time",58,18,41
"Number of Jobs (Thousands)",2021,"Mid Ulster","Weekly","Part-Time",19,13,7
"Number of Jobs (Thousands)",2021,"Newry, Mourne and Down","Hourly (excluding overtime)","All",82,44,38
"Number of Jobs (Thousands)",2021,"Newry, Mourne and Down","Hourly (excluding overtime)","Full-Time",56,26,29
"Number of Jobs (Thousands)",2021,"Newry, Mourne and Down","Hourly (excluding overtime)","Part-Time",27,18,8
"Number of Jobs (Thousands)",2021,"Newry, Mourne and Down","Weekly","All",82,44,38
"Number of Jobs (Thousands)",2021,"Newry, Mourne and Down","Weekly","Full-Time",56,26,29
"Number of Jobs (Thousands)",2021,"Newry, Mourne and Down","Weekly","Part-Time",27,18,8
"Number of Jobs (Thousands)",2021,"Ards and North Down","Hourly (excluding overtime)","All",54,31,23
"Number of Jobs (Thousands)",2021,"Ards and North Down","Hourly (excluding overtime)","Full-Time",33,14,18
"Number of Jobs (Thousands)",2021,"Ards and North Down","Hourly (excluding overtime)","Part-Time",22,17,NA
"Number of Jobs (Thousands)",2021,"Ards and North Down","Weekly","All",54,31,23
"Number of Jobs (Thousands)",2021,"Ards and North Down","Weekly","Full-Time",33,14,18
"Number of Jobs (Thousands)",2021,"Ards and North Down","Weekly","Part-Time",22,17,NA
"Number of Jobs (Thousands)",2022,"Northern Ireland","Hourly (excluding overtime)","All",1180,594,586
"Number of Jobs (Thousands)",2022,"Northern Ireland","Hourly (excluding overtime)","Full-Time",852,348,504
"Number of Jobs (Thousands)",2022,"Northern Ireland","Hourly (excluding overtime)","Part-Time",328,246,83
"Number of Jobs (Thousands)",2022,"Northern Ireland","Weekly","All",1180,594,586
"Number of Jobs (Thousands)",2022,"Northern Ireland","Weekly","Full-Time",852,348,504
"Number of Jobs (Thousands)",2022,"Northern Ireland","Weekly","Part-Time",328,246,83
"Number of Jobs (Thousands)",2022,"Antrim and Newtownabbey","Hourly (excluding overtime)","All",79,46,34
"Number of Jobs (Thousands)",2022,"Antrim and Newtownabbey","Hourly (excluding overtime)","Full-Time",57,28,29
"Number of Jobs (Thousands)",2022,"Antrim and Newtownabbey","Hourly (excluding overtime)","Part-Time",22,18,NA
"Number of Jobs (Thousands)",2022,"Antrim and Newtownabbey","Weekly","All",79,46,34
"Number of Jobs (Thousands)",2022,"Antrim and Newtownabbey","Weekly","Full-Time",57,28,29
"Number of Jobs (Thousands)",2022,"Antrim and Newtownabbey","Weekly","Part-Time",22,18,NA
"Number of Jobs (Thousands)",2022,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","All",123,68,56
"Number of Jobs (Thousands)",2022,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","Full-Time",85,38,48
"Number of Jobs (Thousands)",2022,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","Part-Time",38,30,8
"Number of Jobs (Thousands)",2022,"Armagh City, Banbridge and Craigavon","Weekly","All",123,68,56
"Number of Jobs (Thousands)",2022,"Armagh City, Banbridge and Craigavon","Weekly","Full-Time",85,38,48
"Number of Jobs (Thousands)",2022,"Armagh City, Banbridge and Craigavon","Weekly","Part-Time",38,30,8
"Number of Jobs (Thousands)",2022,"Belfast","Hourly (excluding overtime)","All",358,174,185
"Number of Jobs (Thousands)",2022,"Belfast","Hourly (excluding overtime)","Full-Time",276,114,162
"Number of Jobs (Thousands)",2022,"Belfast","Hourly (excluding overtime)","Part-Time",83,60,22
"Number of Jobs (Thousands)",2022,"Belfast","Weekly","All",358,174,185
"Number of Jobs (Thousands)",2022,"Belfast","Weekly","Full-Time",276,114,162
"Number of Jobs (Thousands)",2022,"Belfast","Weekly","Part-Time",83,60,22
"Number of Jobs (Thousands)",2022,"Causeway Coast and Glens","Hourly (excluding overtime)","All",62,34,28
"Number of Jobs (Thousands)",2022,"Causeway Coast and Glens","Hourly (excluding overtime)","Full-Time",43,19,24
"Number of Jobs (Thousands)",2022,"Causeway Coast and Glens","Hourly (excluding overtime)","Part-Time",19,15,NA
"Number of Jobs (Thousands)",2022,"Causeway Coast and Glens","Weekly","All",62,34,28
"Number of Jobs (Thousands)",2022,"Causeway Coast and Glens","Weekly","Full-Time",43,19,24
"Number of Jobs (Thousands)",2022,"Causeway Coast and Glens","Weekly","Part-Time",19,15,NA
"Number of Jobs (Thousands)",2022,"Derry City and Strabane","Hourly (excluding overtime)","All",83,43,40
"Number of Jobs (Thousands)",2022,"Derry City and Strabane","Hourly (excluding overtime)","Full-Time",57,25,32
"Number of Jobs (Thousands)",2022,"Derry City and Strabane","Hourly (excluding overtime)","Part-Time",26,19,8
"Number of Jobs (Thousands)",2022,"Derry City and Strabane","Weekly","All",83,43,40
"Number of Jobs (Thousands)",2022,"Derry City and Strabane","Weekly","Full-Time",57,25,32
"Number of Jobs (Thousands)",2022,"Derry City and Strabane","Weekly","Part-Time",26,19,8
"Number of Jobs (Thousands)",2022,"Fermanagh and Omagh","Hourly (excluding overtime)","All",61,33,29
"Number of Jobs (Thousands)",2022,"Fermanagh and Omagh","Hourly (excluding overtime)","Full-Time",40,17,24
"Number of Jobs (Thousands)",2022,"Fermanagh and Omagh","Hourly (excluding overtime)","Part-Time",21,16,NA
"Number of Jobs (Thousands)",2022,"Fermanagh and Omagh","Weekly","All",61,33,29
"Number of Jobs (Thousands)",2022,"Fermanagh and Omagh","Weekly","Full-Time",40,17,24
"Number of Jobs (Thousands)",2022,"Fermanagh and Omagh","Weekly","Part-Time",21,16,NA
"Number of Jobs (Thousands)",2022,"Lisburn and Castlereagh","Hourly (excluding overtime)","All",89,45,44
"Number of Jobs (Thousands)",2022,"Lisburn and Castlereagh","Hourly (excluding overtime)","Full-Time",62,26,36
"Number of Jobs (Thousands)",2022,"Lisburn and Castlereagh","Hourly (excluding overtime)","Part-Time",27,19,8
"Number of Jobs (Thousands)",2022,"Lisburn and Castlereagh","Weekly","All",89,45,44
"Number of Jobs (Thousands)",2022,"Lisburn and Castlereagh","Weekly","Full-Time",62,26,36
"Number of Jobs (Thousands)",2022,"Lisburn and Castlereagh","Weekly","Part-Time",27,19,8
"Number of Jobs (Thousands)",2022,"Mid and East Antrim","Hourly (excluding overtime)","All",63,34,28
"Number of Jobs (Thousands)",2022,"Mid and East Antrim","Hourly (excluding overtime)","Full-Time",42,18,24
"Number of Jobs (Thousands)",2022,"Mid and East Antrim","Hourly (excluding overtime)","Part-Time",21,16,NA
"Number of Jobs (Thousands)",2022,"Mid and East Antrim","Weekly","All",63,34,28
"Number of Jobs (Thousands)",2022,"Mid and East Antrim","Weekly","Full-Time",42,18,24
"Number of Jobs (Thousands)",2022,"Mid and East Antrim","Weekly","Part-Time",21,16,NA
"Number of Jobs (Thousands)",2022,"Mid Ulster","Hourly (excluding overtime)","All",84,32,52
"Number of Jobs (Thousands)",2022,"Mid Ulster","Hourly (excluding overtime)","Full-Time",64,18,46
"Number of Jobs (Thousands)",2022,"Mid Ulster","Hourly (excluding overtime)","Part-Time",20,14,7
"Number of Jobs (Thousands)",2022,"Mid Ulster","Weekly","All",84,32,52
"Number of Jobs (Thousands)",2022,"Mid Ulster","Weekly","Full-Time",64,18,46
"Number of Jobs (Thousands)",2022,"Mid Ulster","Weekly","Part-Time",20,14,7
"Number of Jobs (Thousands)",2022,"Newry, Mourne and Down","Hourly (excluding overtime)","All",88,45,43
"Number of Jobs (Thousands)",2022,"Newry, Mourne and Down","Hourly (excluding overtime)","Full-Time",61,25,36
"Number of Jobs (Thousands)",2022,"Newry, Mourne and Down","Hourly (excluding overtime)","Part-Time",27,20,7
"Number of Jobs (Thousands)",2022,"Newry, Mourne and Down","Weekly","All",88,45,43
"Number of Jobs (Thousands)",2022,"Newry, Mourne and Down","Weekly","Full-Time",61,25,36
"Number of Jobs (Thousands)",2022,"Newry, Mourne and Down","Weekly","Part-Time",27,20,7
"Number of Jobs (Thousands)",2022,"Ards and North Down","Hourly (excluding overtime)","All",57,32,25
"Number of Jobs (Thousands)",2022,"Ards and North Down","Hourly (excluding overtime)","Full-Time",34,14,20
"Number of Jobs (Thousands)",2022,"Ards and North Down","Hourly (excluding overtime)","Part-Time",23,18,NA
"Number of Jobs (Thousands)",2022,"Ards and North Down","Weekly","All",57,32,25
"Number of Jobs (Thousands)",2022,"Ards and North Down","Weekly","Full-Time",34,14,20
"Number of Jobs (Thousands)",2022,"Ards and North Down","Weekly","Part-Time",23,18,NA
"Number of Jobs (Thousands)",2023,"Northern Ireland","Hourly (excluding overtime)","All",1112,566,546
"Number of Jobs (Thousands)",2023,"Northern Ireland","Hourly (excluding overtime)","Full-Time",784,330,453
"Number of Jobs (Thousands)",2023,"Northern Ireland","Hourly (excluding overtime)","Part-Time",329,236,93
"Number of Jobs (Thousands)",2023,"Northern Ireland","Weekly","All",1112,566,546
"Number of Jobs (Thousands)",2023,"Northern Ireland","Weekly","Full-Time",784,330,453
"Number of Jobs (Thousands)",2023,"Northern Ireland","Weekly","Part-Time",329,236,93
"Number of Jobs (Thousands)",2023,"Antrim and Newtownabbey","Hourly (excluding overtime)","All",72,39,34
"Number of Jobs (Thousands)",2023,"Antrim and Newtownabbey","Hourly (excluding overtime)","Full-Time",51,22,29
"Number of Jobs (Thousands)",2023,"Antrim and Newtownabbey","Hourly (excluding overtime)","Part-Time",21,17,NA
"Number of Jobs (Thousands)",2023,"Antrim and Newtownabbey","Weekly","All",72,39,34
"Number of Jobs (Thousands)",2023,"Antrim and Newtownabbey","Weekly","Full-Time",51,22,29
"Number of Jobs (Thousands)",2023,"Antrim and Newtownabbey","Weekly","Part-Time",21,17,NA
"Number of Jobs (Thousands)",2023,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","All",114,61,53
"Number of Jobs (Thousands)",2023,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","Full-Time",76,32,45
"Number of Jobs (Thousands)",2023,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","Part-Time",38,29,9
"Number of Jobs (Thousands)",2023,"Armagh City, Banbridge and Craigavon","Weekly","All",114,61,53
"Number of Jobs (Thousands)",2023,"Armagh City, Banbridge and Craigavon","Weekly","Full-Time",76,32,45
"Number of Jobs (Thousands)",2023,"Armagh City, Banbridge and Craigavon","Weekly","Part-Time",38,29,9
"Number of Jobs (Thousands)",2023,"Belfast","Hourly (excluding overtime)","All",350,175,175
"Number of Jobs (Thousands)",2023,"Belfast","Hourly (excluding overtime)","Full-Time",266,117,149
"Number of Jobs (Thousands)",2023,"Belfast","Hourly (excluding overtime)","Part-Time",84,58,26
"Number of Jobs (Thousands)",2023,"Belfast","Weekly","All",350,175,175
"Number of Jobs (Thousands)",2023,"Belfast","Weekly","Full-Time",266,117,149
"Number of Jobs (Thousands)",2023,"Belfast","Weekly","Part-Time",84,58,26
"Number of Jobs (Thousands)",2023,"Causeway Coast and Glens","Hourly (excluding overtime)","All",59,33,27
"Number of Jobs (Thousands)",2023,"Causeway Coast and Glens","Hourly (excluding overtime)","Full-Time",41,20,21
"Number of Jobs (Thousands)",2023,"Causeway Coast and Glens","Hourly (excluding overtime)","Part-Time",19,13,6
"Number of Jobs (Thousands)",2023,"Causeway Coast and Glens","Weekly","All",59,33,27
"Number of Jobs (Thousands)",2023,"Causeway Coast and Glens","Weekly","Full-Time",41,20,21
"Number of Jobs (Thousands)",2023,"Causeway Coast and Glens","Weekly","Part-Time",19,13,6
"Number of Jobs (Thousands)",2023,"Derry City and Strabane","Hourly (excluding overtime)","All",77,39,38
"Number of Jobs (Thousands)",2023,"Derry City and Strabane","Hourly (excluding overtime)","Full-Time",51,21,29
"Number of Jobs (Thousands)",2023,"Derry City and Strabane","Hourly (excluding overtime)","Part-Time",27,18,9
"Number of Jobs (Thousands)",2023,"Derry City and Strabane","Weekly","All",77,39,38
"Number of Jobs (Thousands)",2023,"Derry City and Strabane","Weekly","Full-Time",51,21,29
"Number of Jobs (Thousands)",2023,"Derry City and Strabane","Weekly","Part-Time",27,18,9
"Number of Jobs (Thousands)",2023,"Fermanagh and Omagh","Hourly (excluding overtime)","All",58,31,27
"Number of Jobs (Thousands)",2023,"Fermanagh and Omagh","Hourly (excluding overtime)","Full-Time",37,15,22
"Number of Jobs (Thousands)",2023,"Fermanagh and Omagh","Hourly (excluding overtime)","Part-Time",21,16,NA
"Number of Jobs (Thousands)",2023,"Fermanagh and Omagh","Weekly","All",58,31,27
"Number of Jobs (Thousands)",2023,"Fermanagh and Omagh","Weekly","Full-Time",37,15,22
"Number of Jobs (Thousands)",2023,"Fermanagh and Omagh","Weekly","Part-Time",21,16,NA
"Number of Jobs (Thousands)",2023,"Lisburn and Castlereagh","Hourly (excluding overtime)","All",81,43,39
"Number of Jobs (Thousands)",2023,"Lisburn and Castlereagh","Hourly (excluding overtime)","Full-Time",55,23,31
"Number of Jobs (Thousands)",2023,"Lisburn and Castlereagh","Hourly (excluding overtime)","Part-Time",27,19,7
"Number of Jobs (Thousands)",2023,"Lisburn and Castlereagh","Weekly","All",81,43,39
"Number of Jobs (Thousands)",2023,"Lisburn and Castlereagh","Weekly","Full-Time",55,23,31
"Number of Jobs (Thousands)",2023,"Lisburn and Castlereagh","Weekly","Part-Time",27,19,7
"Number of Jobs (Thousands)",2023,"Mid and East Antrim","Hourly (excluding overtime)","All",62,31,31
"Number of Jobs (Thousands)",2023,"Mid and East Antrim","Hourly (excluding overtime)","Full-Time",41,17,25
"Number of Jobs (Thousands)",2023,"Mid and East Antrim","Hourly (excluding overtime)","Part-Time",21,14,NA
"Number of Jobs (Thousands)",2023,"Mid and East Antrim","Weekly","All",62,31,31
"Number of Jobs (Thousands)",2023,"Mid and East Antrim","Weekly","Full-Time",41,17,25
"Number of Jobs (Thousands)",2023,"Mid and East Antrim","Weekly","Part-Time",21,14,NA
"Number of Jobs (Thousands)",2023,"Mid Ulster","Hourly (excluding overtime)","All",79,33,46
"Number of Jobs (Thousands)",2023,"Mid Ulster","Hourly (excluding overtime)","Full-Time",57,18,39
"Number of Jobs (Thousands)",2023,"Mid Ulster","Hourly (excluding overtime)","Part-Time",21,14,7
"Number of Jobs (Thousands)",2023,"Mid Ulster","Weekly","All",79,33,46
"Number of Jobs (Thousands)",2023,"Mid Ulster","Weekly","Full-Time",57,18,39
"Number of Jobs (Thousands)",2023,"Mid Ulster","Weekly","Part-Time",21,14,7
"Number of Jobs (Thousands)",2023,"Newry, Mourne and Down","Hourly (excluding overtime)","All",84,45,39
"Number of Jobs (Thousands)",2023,"Newry, Mourne and Down","Hourly (excluding overtime)","Full-Time",55,23,32
"Number of Jobs (Thousands)",2023,"Newry, Mourne and Down","Hourly (excluding overtime)","Part-Time",29,21,8
"Number of Jobs (Thousands)",2023,"Newry, Mourne and Down","Weekly","All",84,45,39
"Number of Jobs (Thousands)",2023,"Newry, Mourne and Down","Weekly","Full-Time",55,23,32
"Number of Jobs (Thousands)",2023,"Newry, Mourne and Down","Weekly","Part-Time",29,21,8
"Number of Jobs (Thousands)",2023,"Ards and North Down","Hourly (excluding overtime)","All",56,33,23
"Number of Jobs (Thousands)",2023,"Ards and North Down","Hourly (excluding overtime)","Full-Time",34,17,17
"Number of Jobs (Thousands)",2023,"Ards and North Down","Hourly (excluding overtime)","Part-Time",22,17,NA
"Number of Jobs (Thousands)",2023,"Ards and North Down","Weekly","All",56,33,23
"Number of Jobs (Thousands)",2023,"Ards and North Down","Weekly","Full-Time",34,17,17
"Number of Jobs (Thousands)",2023,"Ards and North Down","Weekly","Part-Time",22,17,NA
"Number of Jobs (Thousands)",2024,"Northern Ireland","Hourly (excluding overtime)","All",1060,545,515
"Number of Jobs (Thousands)",2024,"Northern Ireland","Hourly (excluding overtime)","Full-Time",748,322,426
"Number of Jobs (Thousands)",2024,"Northern Ireland","Hourly (excluding overtime)","Part-Time",312,223,89
"Number of Jobs (Thousands)",2024,"Northern Ireland","Weekly","All",1060,545,515
"Number of Jobs (Thousands)",2024,"Northern Ireland","Weekly","Full-Time",748,322,426
"Number of Jobs (Thousands)",2024,"Northern Ireland","Weekly","Part-Time",312,223,89
"Number of Jobs (Thousands)",2024,"Antrim and Newtownabbey","Hourly (excluding overtime)","All",71,38,33
"Number of Jobs (Thousands)",2024,"Antrim and Newtownabbey","Hourly (excluding overtime)","Full-Time",51,23,28
"Number of Jobs (Thousands)",2024,"Antrim and Newtownabbey","Hourly (excluding overtime)","Part-Time",20,16,5
"Number of Jobs (Thousands)",2024,"Antrim and Newtownabbey","Weekly","All",71,38,33
"Number of Jobs (Thousands)",2024,"Antrim and Newtownabbey","Weekly","Full-Time",51,23,28
"Number of Jobs (Thousands)",2024,"Antrim and Newtownabbey","Weekly","Part-Time",20,16,5
"Number of Jobs (Thousands)",2024,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","All",108,60,48
"Number of Jobs (Thousands)",2024,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","Full-Time",73,33,39
"Number of Jobs (Thousands)",2024,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","Part-Time",35,26,9
"Number of Jobs (Thousands)",2024,"Armagh City, Banbridge and Craigavon","Weekly","All",108,60,48
"Number of Jobs (Thousands)",2024,"Armagh City, Banbridge and Craigavon","Weekly","Full-Time",73,33,39
"Number of Jobs (Thousands)",2024,"Armagh City, Banbridge and Craigavon","Weekly","Part-Time",35,26,9
"Number of Jobs (Thousands)",2024,"Belfast","Hourly (excluding overtime)","All",327,166,162
"Number of Jobs (Thousands)",2024,"Belfast","Hourly (excluding overtime)","Full-Time",252,114,138
"Number of Jobs (Thousands)",2024,"Belfast","Hourly (excluding overtime)","Part-Time",75,52,23
"Number of Jobs (Thousands)",2024,"Belfast","Weekly","All",327,166,162
"Number of Jobs (Thousands)",2024,"Belfast","Weekly","Full-Time",252,114,138
"Number of Jobs (Thousands)",2024,"Belfast","Weekly","Part-Time",75,52,23
"Number of Jobs (Thousands)",2024,"Causeway Coast and Glens","Hourly (excluding overtime)","All",56,30,26
"Number of Jobs (Thousands)",2024,"Causeway Coast and Glens","Hourly (excluding overtime)","Full-Time",37,16,21
"Number of Jobs (Thousands)",2024,"Causeway Coast and Glens","Hourly (excluding overtime)","Part-Time",20,14,5
"Number of Jobs (Thousands)",2024,"Causeway Coast and Glens","Weekly","All",56,30,26
"Number of Jobs (Thousands)",2024,"Causeway Coast and Glens","Weekly","Full-Time",37,16,21
"Number of Jobs (Thousands)",2024,"Causeway Coast and Glens","Weekly","Part-Time",20,14,5
"Number of Jobs (Thousands)",2024,"Derry City and Strabane","Hourly (excluding overtime)","All",77,42,35
"Number of Jobs (Thousands)",2024,"Derry City and Strabane","Hourly (excluding overtime)","Full-Time",50,23,27
"Number of Jobs (Thousands)",2024,"Derry City and Strabane","Hourly (excluding overtime)","Part-Time",27,19,8
"Number of Jobs (Thousands)",2024,"Derry City and Strabane","Weekly","All",77,42,35
"Number of Jobs (Thousands)",2024,"Derry City and Strabane","Weekly","Full-Time",50,23,27
"Number of Jobs (Thousands)",2024,"Derry City and Strabane","Weekly","Part-Time",27,19,8
"Number of Jobs (Thousands)",2024,"Fermanagh and Omagh","Hourly (excluding overtime)","All",55,29,27
"Number of Jobs (Thousands)",2024,"Fermanagh and Omagh","Hourly (excluding overtime)","Full-Time",35,14,21
"Number of Jobs (Thousands)",2024,"Fermanagh and Omagh","Hourly (excluding overtime)","Part-Time",20,15,5
"Number of Jobs (Thousands)",2024,"Fermanagh and Omagh","Weekly","All",55,29,27
"Number of Jobs (Thousands)",2024,"Fermanagh and Omagh","Weekly","Full-Time",35,14,21
"Number of Jobs (Thousands)",2024,"Fermanagh and Omagh","Weekly","Part-Time",20,15,5
"Number of Jobs (Thousands)",2024,"Lisburn and Castlereagh","Hourly (excluding overtime)","All",78,42,35
"Number of Jobs (Thousands)",2024,"Lisburn and Castlereagh","Hourly (excluding overtime)","Full-Time",52,24,28
"Number of Jobs (Thousands)",2024,"Lisburn and Castlereagh","Hourly (excluding overtime)","Part-Time",26,18,8
"Number of Jobs (Thousands)",2024,"Lisburn and Castlereagh","Weekly","All",78,42,35
"Number of Jobs (Thousands)",2024,"Lisburn and Castlereagh","Weekly","Full-Time",52,24,28
"Number of Jobs (Thousands)",2024,"Lisburn and Castlereagh","Weekly","Part-Time",26,18,8
"Number of Jobs (Thousands)",2024,"Mid and East Antrim","Hourly (excluding overtime)","All",57,27,30
"Number of Jobs (Thousands)",2024,"Mid and East Antrim","Hourly (excluding overtime)","Full-Time",40,15,25
"Number of Jobs (Thousands)",2024,"Mid and East Antrim","Hourly (excluding overtime)","Part-Time",18,13,NA
"Number of Jobs (Thousands)",2024,"Mid and East Antrim","Weekly","All",57,27,30
"Number of Jobs (Thousands)",2024,"Mid and East Antrim","Weekly","Full-Time",40,15,25
"Number of Jobs (Thousands)",2024,"Mid and East Antrim","Weekly","Part-Time",18,13,NA
"Number of Jobs (Thousands)",2024,"Mid Ulster","Hourly (excluding overtime)","All",77,32,46
"Number of Jobs (Thousands)",2024,"Mid Ulster","Hourly (excluding overtime)","Full-Time",58,18,40
"Number of Jobs (Thousands)",2024,"Mid Ulster","Hourly (excluding overtime)","Part-Time",20,13,6
"Number of Jobs (Thousands)",2024,"Mid Ulster","Weekly","All",77,32,46
"Number of Jobs (Thousands)",2024,"Mid Ulster","Weekly","Full-Time",58,18,40
"Number of Jobs (Thousands)",2024,"Mid Ulster","Weekly","Part-Time",20,13,6
"Number of Jobs (Thousands)",2024,"Newry, Mourne and Down","Hourly (excluding overtime)","All",78,43,36
"Number of Jobs (Thousands)",2024,"Newry, Mourne and Down","Hourly (excluding overtime)","Full-Time",51,23,27
"Number of Jobs (Thousands)",2024,"Newry, Mourne and Down","Hourly (excluding overtime)","Part-Time",28,19,8
"Number of Jobs (Thousands)",2024,"Newry, Mourne and Down","Weekly","All",78,43,36
"Number of Jobs (Thousands)",2024,"Newry, Mourne and Down","Weekly","Full-Time",51,23,27
"Number of Jobs (Thousands)",2024,"Newry, Mourne and Down","Weekly","Part-Time",28,19,8
"Number of Jobs (Thousands)",2024,"Ards and North Down","Hourly (excluding overtime)","All",57,33,23
"Number of Jobs (Thousands)",2024,"Ards and North Down","Hourly (excluding overtime)","Full-Time",33,16,17
"Number of Jobs (Thousands)",2024,"Ards and North Down","Hourly (excluding overtime)","Part-Time",24,18,6
"Number of Jobs (Thousands)",2024,"Ards and North Down","Weekly","All",57,33,23
