"Statistic","Year","Local Government District","Working Pattern","Female","Male","All Persons"
"Number of Jobs (Thousands)",2015,"Newry, Mourne and Down","All Jobs",26,30,56
"Number of Jobs (Thousands)",2015,"Newry, Mourne and Down","Full Time",13,23,36
"Number of Jobs (Thousands)",2015,"Newry, Mourne and Down","Part Time",13,7,20
"Number of Jobs (Thousands)",2015,"Northern Ireland","All Jobs",394,398,792
"Number of Jobs (Thousands)",2015,"Northern Ireland","Full Time",219,334,553
"Number of Jobs (Thousands)",2015,"Northern Ireland","Part Time",175,64,239
"Number of Jobs (Thousands)",2016,"Antrim and Newtownabbey","All Jobs",32,30,62
"Number of Jobs (Thousands)",2016,"Antrim and Newtownabbey","Full Time",20,25,45
"Number of Jobs (Thousands)",2016,"Antrim and Newtownabbey","Part Time",12,5,17
"Number of Jobs (Thousands)",2016,"Ards and North Down","All Jobs",24,16,40
"Number of Jobs (Thousands)",2016,"Ards and North Down","Full Time",10,11,21
"Number of Jobs (Thousands)",2016,"Ards and North Down","Part Time",13,5,18
"Number of Jobs (Thousands)",2016,"Armagh City, Banbridge and Craigavon","All Jobs",42,42,84
"Number of Jobs (Thousands)",2016,"Armagh City, Banbridge and Craigavon","Full Time",23,36,59
"Number of Jobs (Thousands)",2016,"Armagh City, Banbridge and Craigavon","Part Time",19,6,25
"Number of Jobs (Thousands)",2016,"Belfast","All Jobs",121,129,250
"Number of Jobs (Thousands)",2016,"Belfast","Full Time",74,111,185
"Number of Jobs (Thousands)",2016,"Belfast","Part Time",47,18,65
"Number of Jobs (Thousands)",2016,"Causeway Coast and Glens","All Jobs",26,16,42
"Number of Jobs (Thousands)",2016,"Causeway Coast and Glens","Full Time",13,12,26
"Number of Jobs (Thousands)",2016,"Causeway Coast and Glens","Part Time",13,NA,17
"Number of Jobs (Thousands)",2016,"Derry City and Strabane","All Jobs",34,29,63
"Number of Jobs (Thousands)",2016,"Derry City and Strabane","Full Time",19,22,41
"Number of Jobs (Thousands)",2016,"Derry City and Strabane","Part Time",15,7,22
"Number of Jobs (Thousands)",2016,"Fermanagh and Omagh","All Jobs",24,20,43
"Number of Jobs (Thousands)",2016,"Fermanagh and Omagh","Full Time",12,16,27
"Number of Jobs (Thousands)",2016,"Fermanagh and Omagh","Part Time",12,4,16
"Number of Jobs (Thousands)",2016,"Lisburn and Castlereagh","All Jobs",30,28,58
"Number of Jobs (Thousands)",2016,"Lisburn and Castlereagh","Full Time",16,23,39
"Number of Jobs (Thousands)",2016,"Lisburn and Castlereagh","Part Time",14,5,19
"Number of Jobs (Thousands)",2016,"Mid and East Antrim","All Jobs",24,29,53
"Number of Jobs (Thousands)",2016,"Mid and East Antrim","Full Time",13,24,37
"Number of Jobs (Thousands)",2016,"Mid and East Antrim","Part Time",11,5,16
"Number of Jobs (Thousands)",2016,"Mid Ulster","All Jobs",23,35,58
"Number of Jobs (Thousands)",2016,"Mid Ulster","Full Time",12,30,43
"Number of Jobs (Thousands)",2016,"Mid Ulster","Part Time",11,5,15
"Number of Jobs (Thousands)",2016,"Newry, Mourne and Down","All Jobs",31,33,64
"Number of Jobs (Thousands)",2016,"Newry, Mourne and Down","Full Time",16,27,42
"Number of Jobs (Thousands)",2016,"Newry, Mourne and Down","Part Time",15,6,21
"Number of Jobs (Thousands)",2016,"Northern Ireland","All Jobs",413,420,833
"Number of Jobs (Thousands)",2016,"Northern Ireland","Full Time",231,351,582
"Number of Jobs (Thousands)",2016,"Northern Ireland","Part Time",183,69,252
