"Statistic","Year","Local Government District","Working Pattern","Female","Male","All Persons"
"Number of Jobs (Thousands)",2023,"Belfast","All Jobs",175,175,350
"Number of Jobs (Thousands)",2023,"Belfast","Full Time",117,149,266
"Number of Jobs (Thousands)",2023,"Belfast","Part Time",58,26,84
"Number of Jobs (Thousands)",2023,"Causeway Coast and Glens","All Jobs",33,27,59
"Number of Jobs (Thousands)",2023,"Causeway Coast and Glens","Full Time",20,21,41
"Number of Jobs (Thousands)",2023,"Causeway Coast and Glens","Part Time",13,6,19
"Number of Jobs (Thousands)",2023,"Derry City and Strabane","All Jobs",39,38,77
"Number of Jobs (Thousands)",2023,"Derry City and Strabane","Full Time",21,29,51
"Number of Jobs (Thousands)",2023,"Derry City and Strabane","Part Time",18,9,27
"Number of Jobs (Thousands)",2023,"Fermanagh and Omagh","All Jobs",31,27,58
"Number of Jobs (Thousands)",2023,"Fermanagh and Omagh","Full Time",15,22,37
"Number of Jobs (Thousands)",2023,"Fermanagh and Omagh","Part Time",16,NA,21
"Number of Jobs (Thousands)",2023,"Lisburn and Castlereagh","All Jobs",43,39,81
"Number of Jobs (Thousands)",2023,"Lisburn and Castlereagh","Full Time",23,31,55
"Number of Jobs (Thousands)",2023,"Lisburn and Castlereagh","Part Time",19,7,27
"Number of Jobs (Thousands)",2023,"Mid and East Antrim","All Jobs",31,31,62
"Number of Jobs (Thousands)",2023,"Mid and East Antrim","Full Time",17,25,41
"Number of Jobs (Thousands)",2023,"Mid and East Antrim","Part Time",14,NA,21
"Number of Jobs (Thousands)",2023,"Mid Ulster","All Jobs",33,46,79
"Number of Jobs (Thousands)",2023,"Mid Ulster","Full Time",18,39,57
"Number of Jobs (Thousands)",2023,"Mid Ulster","Part Time",14,7,21
"Number of Jobs (Thousands)",2023,"Newry, Mourne and Down","All Jobs",45,39,84
"Number of Jobs (Thousands)",2023,"Newry, Mourne and Down","Full Time",23,32,55
"Number of Jobs (Thousands)",2023,"Newry, Mourne and Down","Part Time",21,8,29
"Number of Jobs (Thousands)",2023,"Northern Ireland","All Jobs",566,546,1112
"Number of Jobs (Thousands)",2023,"Northern Ireland","Full Time",330,453,784
"Number of Jobs (Thousands)",2023,"Northern Ireland","Part Time",236,93,329
"Number of Jobs (Thousands)",2024,"Antrim and Newtownabbey","All Jobs",38,33,71
"Number of Jobs (Thousands)",2024,"Antrim and Newtownabbey","Full Time",23,28,51
"Number of Jobs (Thousands)",2024,"Antrim and Newtownabbey","Part Time",16,5,20
"Number of Jobs (Thousands)",2024,"Ards and North Down","All Jobs",33,23,57
"Number of Jobs (Thousands)",2024,"Ards and North Down","Full Time",16,17,33
"Number of Jobs (Thousands)",2024,"Ards and North Down","Part Time",18,6,24
"Number of Jobs (Thousands)",2024,"Armagh City, Banbridge and Craigavon","All Jobs",60,48,108
"Number of Jobs (Thousands)",2024,"Armagh City, Banbridge and Craigavon","Full Time",33,39,73
"Number of Jobs (Thousands)",2024,"Armagh City, Banbridge and Craigavon","Part Time",26,9,35
"Number of Jobs (Thousands)",2024,"Belfast","All Jobs",166,162,327
"Number of Jobs (Thousands)",2024,"Belfast","Full Time",114,138,252
"Number of Jobs (Thousands)",2024,"Belfast","Part Time",52,23,75
"Number of Jobs (Thousands)",2024,"Causeway Coast and Glens","All Jobs",30,26,56
"Number of Jobs (Thousands)",2024,"Causeway Coast and Glens","Full Time",16,21,37
"Number of Jobs (Thousands)",2024,"Causeway Coast and Glens","Part Time",14,5,20
"Number of Jobs (Thousands)",2024,"Derry City and Strabane","All Jobs",42,35,77
"Number of Jobs (Thousands)",2024,"Derry City and Strabane","Full Time",23,27,50
"Number of Jobs (Thousands)",2024,"Derry City and Strabane","Part Time",19,8,27
"Number of Jobs (Thousands)",2024,"Fermanagh and Omagh","All Jobs",29,27,55
"Number of Jobs (Thousands)",2024,"Fermanagh and Omagh","Full Time",14,21,35
"Number of Jobs (Thousands)",2024,"Fermanagh and Omagh","Part Time",15,5,20
"Number of Jobs (Thousands)",2024,"Lisburn and Castlereagh","All Jobs",42,35,78
"Number of Jobs (Thousands)",2024,"Lisburn and Castlereagh","Full Time",24,28,52
"Number of Jobs (Thousands)",2024,"Lisburn and Castlereagh","Part Time",18,8,26
"Number of Jobs (Thousands)",2024,"Mid and East Antrim","All Jobs",27,30,57
"Number of Jobs (Thousands)",2024,"Mid and East Antrim","Full Time",15,25,40
"Number of Jobs (Thousands)",2024,"Mid and East Antrim","Part Time",13,NA,18
"Number of Jobs (Thousands)",2024,"Mid Ulster","All Jobs",32,46,77
"Number of Jobs (Thousands)",2024,"Mid Ulster","Full Time",18,40,58
"Number of Jobs (Thousands)",2024,"Mid Ulster","Part Time",13,6,20
"Number of Jobs (Thousands)",2024,"Newry, Mourne and Down","All Jobs",43,36,78
"Number of Jobs (Thousands)",2024,"Newry, Mourne and Down","Full Time",23,27,51
"Number of Jobs (Thousands)",2024,"Newry, Mourne and Down","Part Time",19,8,28
"Number of Jobs (Thousands)",2024,"Northern Ireland","All Jobs",545,515,1060
"Number of Jobs (Thousands)",2024,"Northern Ireland","Full Time",322,426,748
"Number of Jobs (Thousands)",2024,"Northern Ireland","Part Time",223,89,312
"Number of Jobs (Thousands)",2025,"Antrim and Newtownabbey","All Jobs",39,37,76
"Number of Jobs (Thousands)",2025,"Antrim and Newtownabbey","Full Time",23,32,55
"Number of Jobs (Thousands)",2025,"Antrim and Newtownabbey","Part Time",16,NA,21
"Number of Jobs (Thousands)",2025,"Ards and North Down","All Jobs",34,25,60
"Number of Jobs (Thousands)",2025,"Ards and North Down","Full Time",17,18,35
"Number of Jobs (Thousands)",2025,"Ards and North Down","Part Time",17,8,25
"Number of Jobs (Thousands)",2025,"Armagh City, Banbridge and Craigavon","All Jobs",65,54,119
"Number of Jobs (Thousands)",2025,"Armagh City, Banbridge and Craigavon","Full Time",38,45,83
"Number of Jobs (Thousands)",2025,"Armagh City, Banbridge and Craigavon","Part Time",27,9,36
"Number of Jobs (Thousands)",2025,"Belfast","All Jobs",181,173,353
"Number of Jobs (Thousands)",2025,"Belfast","Full Time",119,148,268
"Number of Jobs (Thousands)",2025,"Belfast","Part Time",61,24,86
"Number of Jobs (Thousands)",2025,"Causeway Coast and Glens","All Jobs",33,27,60
"Number of Jobs (Thousands)",2025,"Causeway Coast and Glens","Full Time",16,20,36
"Number of Jobs (Thousands)",2025,"Causeway Coast and Glens","Part Time",17,7,23
"Number of Jobs (Thousands)",2025,"Derry City and Strabane","All Jobs",44,37,80
"Number of Jobs (Thousands)",2025,"Derry City and Strabane","Full Time",25,30,55
"Number of Jobs (Thousands)",2025,"Derry City and Strabane","Part Time",19,6,25
"Number of Jobs (Thousands)",2025,"Fermanagh and Omagh","All Jobs",31,29,60
"Number of Jobs (Thousands)",2025,"Fermanagh and Omagh","Full Time",16,24,40
"Number of Jobs (Thousands)",2025,"Fermanagh and Omagh","Part Time",15,NA,20
"Number of Jobs (Thousands)",2025,"Lisburn and Castlereagh","All Jobs",46,39,85
"Number of Jobs (Thousands)",2025,"Lisburn and Castlereagh","Full Time",26,32,58
"Number of Jobs (Thousands)",2025,"Lisburn and Castlereagh","Part Time",20,7,27
"Number of Jobs (Thousands)",2025,"Mid and East Antrim","All Jobs",30,30,60
"Number of Jobs (Thousands)",2025,"Mid and East Antrim","Full Time",17,26,43
"Number of Jobs (Thousands)",2025,"Mid and East Antrim","Part Time",13,NA,17
"Number of Jobs (Thousands)",2025,"Mid Ulster","All Jobs",34,39,73
"Number of Jobs (Thousands)",2025,"Mid Ulster","Full Time",19,34,52
"Number of Jobs (Thousands)",2025,"Mid Ulster","Part Time",15,NA,20
"Number of Jobs (Thousands)",2025,"Newry, Mourne and Down","All Jobs",47,31,78
"Number of Jobs (Thousands)",2025,"Newry, Mourne and Down","Full Time",22,24,46
"Number of Jobs (Thousands)",2025,"Newry, Mourne and Down","Part Time",24,7,32
"Number of Jobs (Thousands)",2025,"Northern Ireland","All Jobs",587,531,1119
"Number of Jobs (Thousands)",2025,"Northern Ireland","Full Time",343,444,787
"Number of Jobs (Thousands)",2025,"Northern Ireland","Part Time",245,87,332
"Median Hours Worked",2014,"Antrim and Newtownabbey","All Jobs",31.7,38.4,37
"Median Hours Worked",2014,"Antrim and Newtownabbey","Full Time",37.5,40,37.6
"Median Hours Worked",2014,"Antrim and Newtownabbey","Part Time",19.4,NA,18.1
"Median Hours Worked",2014,"Ards and North Down","All Jobs",27.3,37.3,34.9
"Median Hours Worked",2014,"Ards and North Down","Full Time",36.6,39.1,37.5
"Median Hours Worked",2014,"Ards and North Down","Part Time",18,NA,18
"Median Hours Worked",2014,"Armagh City, Banbridge and Craigavon","All Jobs",31.5,39,36.5
"Median Hours Worked",2014,"Armagh City, Banbridge and Craigavon","Full Time",37.5,40,38.6
"Median Hours Worked",2014,"Armagh City, Banbridge and Craigavon","Part Time",19.9,20,20
"Median Hours Worked",2014,"Belfast","All Jobs",34,37.5,37
"Median Hours Worked",2014,"Belfast","Full Time",37,38,37.5
"Median Hours Worked",2014,"Belfast","Part Time",20,16.1,20
"Median Hours Worked",2014,"Causeway Coast and Glens","All Jobs",32.1,38.3,34.9
"Median Hours Worked",2014,"Causeway Coast and Glens","Full Time",37.1,40,38.8
"Median Hours Worked",2014,"Causeway Coast and Glens","Part Time",15.8,NA,16
"Median Hours Worked",2014,"Derry City and Strabane","All Jobs",29.3,37.5,35
"Median Hours Worked",2014,"Derry City and Strabane","Full Time",37.5,39,37.5
"Median Hours Worked",2014,"Derry City and Strabane","Part Time",17.9,17.5,17.9
"Median Hours Worked",2014,"Fermanagh and Omagh","All Jobs",29.8,37.6,34.7
"Median Hours Worked",2014,"Fermanagh and Omagh","Full Time",36,40,38
"Median Hours Worked",2014,"Fermanagh and Omagh","Part Time",18.9,NA,18.8
"Median Hours Worked",2014,"Lisburn and Castlereagh","All Jobs",29.4,38.6,37
"Median Hours Worked",2014,"Lisburn and Castlereagh","Full Time",37.5,40,39
"Median Hours Worked",2014,"Lisburn and Castlereagh","Part Time",17.9,23,18.4
"Median Hours Worked",2014,"Mid and East Antrim","All Jobs",32,38,36.9
"Median Hours Worked",2014,"Mid and East Antrim","Full Time",37.1,39.1,38
"Median Hours Worked",2014,"Mid and East Antrim","Part Time",20.5,20,20
"Median Hours Worked",2014,"Mid Ulster","All Jobs",31.7,40,37.5
"Median Hours Worked",2014,"Mid Ulster","Full Time",37.5,40,40
"Median Hours Worked",2014,"Mid Ulster","Part Time",17.5,15,17
"Median Hours Worked",2014,"Newry, Mourne and Down","All Jobs",30,38.9,36
"Median Hours Worked",2014,"Newry, Mourne and Down","Full Time",37.5,40,39.8
"Median Hours Worked",2014,"Newry, Mourne and Down","Part Time",19.7,20,20
"Median Hours Worked",2014,"Northern Ireland","All Jobs",32.4,38.6,36.9
"Median Hours Worked",2014,"Northern Ireland","Full Time",37.5,40,38.3
"Median Hours Worked",2014,"Northern Ireland","Part Time",19,18.6,19
"Median Hours Worked",2015,"Antrim and Newtownabbey","All Jobs",32.4,39,37.5
"Median Hours Worked",2015,"Antrim and Newtownabbey","Full Time",37.5,40,37.6
"Median Hours Worked",2015,"Antrim and Newtownabbey","Part Time",20,NA,20
"Median Hours Worked",2015,"Ards and North Down","All Jobs",27.7,37,33.6
"Median Hours Worked",2015,"Ards and North Down","Full Time",37.4,38,37.5
"Median Hours Worked",2015,"Ards and North Down","Part Time",19.5,19.2,19.5
"Median Hours Worked",2015,"Armagh City, Banbridge and Craigavon","All Jobs",31.5,39.7,36.8
"Median Hours Worked",2015,"Armagh City, Banbridge and Craigavon","Full Time",37.5,40,38.6
"Median Hours Worked",2015,"Armagh City, Banbridge and Craigavon","Part Time",19.5,15.8,18
"Median Hours Worked",2015,"Belfast","All Jobs",35,37.5,37
"Median Hours Worked",2015,"Belfast","Full Time",37.5,37.9,37.5
"Median Hours Worked",2015,"Belfast","Part Time",20.6,20,20
"Median Hours Worked",2015,"Causeway Coast and Glens","All Jobs",32.4,38,35
"Median Hours Worked",2015,"Causeway Coast and Glens","Full Time",37.5,39.2,37.6
"Median Hours Worked",2015,"Causeway Coast and Glens","Part Time",18.1,NA,18
"Median Hours Worked",2015,"Derry City and Strabane","All Jobs",32.2,37.5,35.1
"Median Hours Worked",2015,"Derry City and Strabane","Full Time",37.5,38.8,37.5
"Median Hours Worked",2015,"Derry City and Strabane","Part Time",19,18.7,18.9
"Median Hours Worked",2015,"Fermanagh and Omagh","All Jobs",30,39.8,35.9
"Median Hours Worked",2015,"Fermanagh and Omagh","Full Time",37.5,40,39.4
"Median Hours Worked",2015,"Fermanagh and Omagh","Part Time",20,NA,20
"Median Hours Worked",2015,"Lisburn and Castlereagh","All Jobs",32.4,38.6,37.4
"Median Hours Worked",2015,"Lisburn and Castlereagh","Full Time",37.5,40,37.9
"Median Hours Worked",2015,"Lisburn and Castlereagh","Part Time",19.4,NA,18.4
"Median Hours Worked",2015,"Mid and East Antrim","All Jobs",32.4,37.6,37
"Median Hours Worked",2015,"Mid and East Antrim","Full Time",37.5,38.7,37.9
"Median Hours Worked",2015,"Mid and East Antrim","Part Time",20.6,NA,19.6
"Median Hours Worked",2015,"Mid Ulster","All Jobs",31.6,40,37.5
"Median Hours Worked",2015,"Mid Ulster","Full Time",37.3,40,40
"Median Hours Worked",2015,"Mid Ulster","Part Time",19.8,NA,19.7
"Median Hours Worked",2015,"Newry, Mourne and Down","All Jobs",30,39,35.9
"Median Hours Worked",2015,"Newry, Mourne and Down","Full Time",37.5,40,39.3
"Median Hours Worked",2015,"Newry, Mourne and Down","Part Time",19.9,18.3,19
"Median Hours Worked",2015,"Northern Ireland","All Jobs",32.4,38.5,37
"Median Hours Worked",2015,"Northern Ireland","Full Time",37.5,40,37.9
"Median Hours Worked",2015,"Northern Ireland","Part Time",20,18.2,19.8
"Median Hours Worked",2016,"Antrim and Newtownabbey","All Jobs",33.8,39,37.5
"Median Hours Worked",2016,"Antrim and Newtownabbey","Full Time",37.5,39.9,37.6
"Median Hours Worked",2016,"Antrim and Newtownabbey","Part Time",21,21.4,21.1
"Median Hours Worked",2016,"Ards and North Down","All Jobs",27.7,36.9,32.4
"Median Hours Worked",2016,"Ards and North Down","Full Time",37.5,39.9,37.5
"Median Hours Worked",2016,"Ards and North Down","Part Time",19.3,16.5,19.3
"Median Hours Worked",2016,"Armagh City, Banbridge and Craigavon","All Jobs",32,40,37.5
"Median Hours Worked",2016,"Armagh City, Banbridge and Craigavon","Full Time",37.5,40,39.3
"Median Hours Worked",2016,"Armagh City, Banbridge and Craigavon","Part Time",20,18,19.8
"Median Hours Worked",2016,"Belfast","All Jobs",35,37.5,37
"Median Hours Worked",2016,"Belfast","Full Time",37.5,37.5,37.5
"Median Hours Worked",2016,"Belfast","Part Time",20,19.8,20
"Median Hours Worked",2016,"Causeway Coast and Glens","All Jobs",30.2,39,33.5
"Median Hours Worked",2016,"Causeway Coast and Glens","Full Time",37.4,40,37.6
"Median Hours Worked",2016,"Causeway Coast and Glens","Part Time",21.4,NA,20.5
"Median Hours Worked",2016,"Derry City and Strabane","All Jobs",31.5,37.5,35
"Median Hours Worked",2016,"Derry City and Strabane","Full Time",37,39.1,37.5
"Median Hours Worked",2016,"Derry City and Strabane","Part Time",18.8,16,18.6
"Median Hours Worked",2016,"Fermanagh and Omagh","All Jobs",30,39.2,35
"Median Hours Worked",2016,"Fermanagh and Omagh","Full Time",36,40,38.9
"Median Hours Worked",2016,"Fermanagh and Omagh","Part Time",18.7,NA,19
"Median Hours Worked",2016,"Lisburn and Castlereagh","All Jobs",32.2,38.7,37.5
"Median Hours Worked",2016,"Lisburn and Castlereagh","Full Time",37.5,40,38.6
"Median Hours Worked",2016,"Lisburn and Castlereagh","Part Time",20,NA,18.9
"Median Hours Worked",2016,"Mid and East Antrim","All Jobs",32.4,38,36.5
"Median Hours Worked",2016,"Mid and East Antrim","Full Time",37.5,38.7,37.9
"Median Hours Worked",2016,"Mid and East Antrim","Part Time",20,16.2,19.5
"Median Hours Worked",2016,"Mid Ulster","All Jobs",32.4,40,37.5
"Median Hours Worked",2016,"Mid Ulster","Full Time",37.5,40,40
"Median Hours Worked",2016,"Mid Ulster","Part Time",19.9,16,18.6
"Median Hours Worked",2016,"Newry, Mourne and Down","All Jobs",31.3,40,37
"Median Hours Worked",2016,"Newry, Mourne and Down","Full Time",37.5,40,40
"Median Hours Worked",2016,"Newry, Mourne and Down","Part Time",19.8,17.8,19.4
"Median Hours Worked",2016,"Northern Ireland","All Jobs",32.4,38.8,37
"Median Hours Worked",2016,"Northern Ireland","Full Time",37.5,40,38
"Median Hours Worked",2016,"Northern Ireland","Part Time",20,18,19.8
"Median Hours Worked",2017,"Antrim and Newtownabbey","All Jobs",35,39.1,37.5
"Median Hours Worked",2017,"Antrim and Newtownabbey","Full Time",37.5,40,38
"Median Hours Worked",2017,"Antrim and Newtownabbey","Part Time",20.5,17.7,20.1
"Median Hours Worked",2017,"Ards and North Down","All Jobs",25.3,37.5,33.3
"Median Hours Worked",2017,"Ards and North Down","Full Time",37.5,39.5,37.5
"Median Hours Worked",2017,"Ards and North Down","Part Time",16.5,19.7,17.1
"Median Hours Worked",2017,"Armagh City, Banbridge and Craigavon","All Jobs",32.2,39.4,37.4
"Median Hours Worked",2017,"Armagh City, Banbridge and Craigavon","Full Time",37.5,40,39
"Median Hours Worked",2017,"Armagh City, Banbridge and Craigavon","Part Time",21.2,15.7,20
"Median Hours Worked",2017,"Belfast","All Jobs",35,37.5,37
"Median Hours Worked",2017,"Belfast","Full Time",37.5,37.5,37.5
"Median Hours Worked",2017,"Belfast","Part Time",20,20,20
"Median Hours Worked",2017,"Causeway Coast and Glens","All Jobs",30.8,39.2,35
"Median Hours Worked",2017,"Causeway Coast and Glens","Full Time",37.4,40,38.3
"Median Hours Worked",2017,"Causeway Coast and Glens","Part Time",19.2,NA,16.7
"Median Hours Worked",2017,"Derry City and Strabane","All Jobs",30.7,37.5,35
"Median Hours Worked",2017,"Derry City and Strabane","Full Time",37.5,39.5,37.5
"Median Hours Worked",2017,"Derry City and Strabane","Part Time",18.5,18.8,18.8
"Median Hours Worked",2017,"Fermanagh and Omagh","All Jobs",30.2,40,36
"Median Hours Worked",2017,"Fermanagh and Omagh","Full Time",37.3,40.9,39.9
"Median Hours Worked",2017,"Fermanagh and Omagh","Part Time",19.5,NA,19.5
"Median Hours Worked",2017,"Lisburn and Castlereagh","All Jobs",32.5,39,37.5
"Median Hours Worked",2017,"Lisburn and Castlereagh","Full Time",37.5,40,38.2
"Median Hours Worked",2017,"Lisburn and Castlereagh","Part Time",19.6,NA,19
"Median Hours Worked",2017,"Mid and East Antrim","All Jobs",31,38,37
"Median Hours Worked",2017,"Mid and East Antrim","Full Time",37.5,39,38
"Median Hours Worked",2017,"Mid and East Antrim","Part Time",20.7,22.1,21
"Median Hours Worked",2017,"Mid Ulster","All Jobs",32.4,40,38
"Median Hours Worked",2017,"Mid Ulster","Full Time",37.5,40,40
"Median Hours Worked",2017,"Mid Ulster","Part Time",20,16.3,20
"Median Hours Worked",2017,"Newry, Mourne and Down","All Jobs",30,40,36.3
"Median Hours Worked",2017,"Newry, Mourne and Down","Full Time",37.5,40,40
"Median Hours Worked",2017,"Newry, Mourne and Down","Part Time",19.3,NA,18
"Median Hours Worked",2017,"Northern Ireland","All Jobs",32.5,39,37
"Median Hours Worked",2017,"Northern Ireland","Full Time",37.5,40,38.1
"Median Hours Worked",2017,"Northern Ireland","Part Time",19.9,18,19.4
"Median Hours Worked",2018,"Antrim and Newtownabbey","All Jobs",34.4,40,37.5
"Median Hours Worked",2018,"Antrim and Newtownabbey","Full Time",37.5,40,38.3
"Median Hours Worked",2018,"Antrim and Newtownabbey","Part Time",19.9,21.2,20
"Median Hours Worked",2018,"Ards and North Down","All Jobs",27.5,36.9,33.7
"Median Hours Worked",2018,"Ards and North Down","Full Time",37,38.5,37.5
"Median Hours Worked",2018,"Ards and North Down","Part Time",18,17.1,17.9
"Median Hours Worked",2018,"Armagh City, Banbridge and Craigavon","All Jobs",32.4,40,37.5
"Median Hours Worked",2018,"Armagh City, Banbridge and Craigavon","Full Time",37.5,40,39.8
"Median Hours Worked",2018,"Armagh City, Banbridge and Craigavon","Part Time",22.3,18.2,20.2
"Median Hours Worked",2018,"Belfast","All Jobs",35,37.5,37
"Median Hours Worked",2018,"Belfast","Full Time",37.5,37.5,37.5
"Median Hours Worked",2018,"Belfast","Part Time",20,18.4,20
"Median Hours Worked",2018,"Causeway Coast and Glens","All Jobs",32.4,39,36.2
"Median Hours Worked",2018,"Causeway Coast and Glens","Full Time",37,40,38.6
"Median Hours Worked",2018,"Causeway Coast and Glens","Part Time",19.3,NA,19.5
"Median Hours Worked",2018,"Derry City and Strabane","All Jobs",29.8,38,34.5
"Median Hours Worked",2018,"Derry City and Strabane","Full Time",37.5,39.8,37.5
"Median Hours Worked",2018,"Derry City and Strabane","Part Time",19.8,19,19.7
"Median Hours Worked",2018,"Fermanagh and Omagh","All Jobs",30,39,34
"Median Hours Worked",2018,"Fermanagh and Omagh","Full Time",35,40,37.5
"Median Hours Worked",2018,"Fermanagh and Omagh","Part Time",20.1,NA,19.7
"Median Hours Worked",2018,"Lisburn and Castlereagh","All Jobs",35.5,39,37.5
"Median Hours Worked",2018,"Lisburn and Castlereagh","Full Time",37.5,39.7,39
"Median Hours Worked",2018,"Lisburn and Castlereagh","Part Time",20,16,18.4
"Median Hours Worked",2018,"Mid and East Antrim","All Jobs",31.4,37.7,37.5
"Median Hours Worked",2018,"Mid and East Antrim","Full Time",37.5,38.3,37.6
"Median Hours Worked",2018,"Mid and East Antrim","Part Time",20,16.5,20
"Median Hours Worked",2018,"Mid Ulster","All Jobs",32.4,40,38
"Median Hours Worked",2018,"Mid Ulster","Full Time",37.5,40,40
"Median Hours Worked",2018,"Mid Ulster","Part Time",20,NA,18.9
"Median Hours Worked",2018,"Newry, Mourne and Down","All Jobs",30.6,40,37
"Median Hours Worked",2018,"Newry, Mourne and Down","Full Time",37.5,40,40
"Median Hours Worked",2018,"Newry, Mourne and Down","Part Time",18.8,NA,18
"Median Hours Worked",2018,"Northern Ireland","All Jobs",32.4,38.7,37
"Median Hours Worked",2018,"Northern Ireland","Full Time",37.5,40,38.2
"Median Hours Worked",2018,"Northern Ireland","Part Time",20,17.8,19.6
"Median Hours Worked",2019,"Antrim and Newtownabbey","All Jobs",32.4,39.1,37.5
"Median Hours Worked",2019,"Antrim and Newtownabbey","Full Time",37.5,40,38
"Median Hours Worked",2019,"Antrim and Newtownabbey","Part Time",18.7,NA,18.7
"Median Hours Worked",2019,"Ards and North Down","All Jobs",28.6,37,35
"Median Hours Worked",2019,"Ards and North Down","Full Time",37.5,39.8,38
"Median Hours Worked",2019,"Ards and North Down","Part Time",18.6,NA,18.5
"Median Hours Worked",2019,"Armagh City, Banbridge and Craigavon","All Jobs",32.4,39.5,37.4
"Median Hours Worked",2019,"Armagh City, Banbridge and Craigavon","Full Time",37.5,40,39.3
"Median Hours Worked",2019,"Armagh City, Banbridge and Craigavon","Part Time",19.5,16,18.6
"Median Hours Worked",2019,"Belfast","All Jobs",35,37.5,37
"Median Hours Worked",2019,"Belfast","Full Time",37.5,37.5,37.5
"Median Hours Worked",2019,"Belfast","Part Time",20.1,20,20
"Median Hours Worked",2019,"Causeway Coast and Glens","All Jobs",32,39,35
"Median Hours Worked",2019,"Causeway Coast and Glens","Full Time",35.2,40,37.5
"Median Hours Worked",2019,"Causeway Coast and Glens","Part Time",20.9,NA,20
"Median Hours Worked",2019,"Derry City and Strabane","All Jobs",30,37.5,35
"Median Hours Worked",2019,"Derry City and Strabane","Full Time",37.5,39,37.5
"Median Hours Worked",2019,"Derry City and Strabane","Part Time",18.2,NA,17.4
"Median Hours Worked",2019,"Fermanagh and Omagh","All Jobs",30,39,35.5
"Median Hours Worked",2019,"Fermanagh and Omagh","Full Time",37,40,38.6
"Median Hours Worked",2019,"Fermanagh and Omagh","Part Time",22,NA,20
"Median Hours Worked",2019,"Lisburn and Castlereagh","All Jobs",32.4,38.7,37.5
"Median Hours Worked",2019,"Lisburn and Castlereagh","Full Time",37.5,39.9,38.7
"Median Hours Worked",2019,"Lisburn and Castlereagh","Part Time",20.2,19.7,20
"Median Hours Worked",2019,"Mid and East Antrim","All Jobs",30,39.1,36.6
"Median Hours Worked",2019,"Mid and East Antrim","Full Time",37.5,40,39
"Median Hours Worked",2019,"Mid and East Antrim","Part Time",20.7,NA,18.8
"Median Hours Worked",2019,"Mid Ulster","All Jobs",32.4,40,38
"Median Hours Worked",2019,"Mid Ulster","Full Time",37.5,40,40
"Median Hours Worked",2019,"Mid Ulster","Part Time",16.6,NA,17
"Median Hours Worked",2019,"Newry, Mourne and Down","All Jobs",30.2,40,37.1
"Median Hours Worked",2019,"Newry, Mourne and Down","Full Time",37.5,40,40
"Median Hours Worked",2019,"Newry, Mourne and Down","Part Time",18.5,NA,18
"Median Hours Worked",2019,"Northern Ireland","All Jobs",32.4,38.7,37
"Median Hours Worked",2019,"Northern Ireland","Full Time",37.5,40,38.3
"Median Hours Worked",2019,"Northern Ireland","Part Time",20,17.5,19.4
"Median Hours Worked",2020,"Antrim and Newtownabbey","All Jobs",32.4,39,37
"Median Hours Worked",2020,"Antrim and Newtownabbey","Full Time",37.5,40,38
"Median Hours Worked",2020,"Antrim and Newtownabbey","Part Time",19.5,NA,18.8
"Median Hours Worked",2020,"Ards and North Down","All Jobs",30.4,37,35
"Median Hours Worked",2020,"Ards and North Down","Full Time",37.3,40,37.9
"Median Hours Worked",2020,"Ards and North Down","Part Time",18.5,21.1,20
"Median Hours Worked",2020,"Armagh City, Banbridge and Craigavon","All Jobs",32.4,39,37.5
"Median Hours Worked",2020,"Armagh City, Banbridge and Craigavon","Full Time",37.5,40,38.9
"Median Hours Worked",2020,"Armagh City, Banbridge and Craigavon","Part Time",21,20,20.7
"Median Hours Worked",2020,"Belfast","All Jobs",35,37.5,37.2
"Median Hours Worked",2020,"Belfast","Full Time",37.5,37.5,37.5
"Median Hours Worked",2020,"Belfast","Part Time",20,21,20
"Median Hours Worked",2020,"Causeway Coast and Glens","All Jobs",31.1,38.9,35.4
"Median Hours Worked",2020,"Causeway Coast and Glens","Full Time",36.5,39.8,37.9
"Median Hours Worked",2020,"Causeway Coast and Glens","Part Time",22.5,NA,22.2
"Median Hours Worked",2020,"Derry City and Strabane","All Jobs",30.4,37.5,35
"Median Hours Worked",2020,"Derry City and Strabane","Full Time",37.5,39,37.5
"Median Hours Worked",2020,"Derry City and Strabane","Part Time",16.1,21.1,18.5
"Median Hours Worked",2020,"Fermanagh and Omagh","All Jobs",30,40,35
"Median Hours Worked",2020,"Fermanagh and Omagh","Full Time",36.2,40,38.2
"Median Hours Worked",2020,"Fermanagh and Omagh","Part Time",22,NA,21
"Median Hours Worked",2020,"Lisburn and Castlereagh","All Jobs",34.6,38,37.5
"Median Hours Worked",2020,"Lisburn and Castlereagh","Full Time",37.5,39.8,37.5
"Median Hours Worked",2020,"Lisburn and Castlereagh","Part Time",19.6,19,19.6
"Median Hours Worked",2020,"Mid and East Antrim","All Jobs",32.1,38.5,36.4
"Median Hours Worked",2020,"Mid and East Antrim","Full Time",37.4,39.9,38.1
"Median Hours Worked",2020,"Mid and East Antrim","Part Time",20,NA,18.4
"Median Hours Worked",2020,"Mid Ulster","All Jobs",32,39.8,37.5
"Median Hours Worked",2020,"Mid Ulster","Full Time",37.5,40,39.9
"Median Hours Worked",2020,"Mid Ulster","Part Time",18.8,NA,18.2
"Median Hours Worked",2020,"Newry, Mourne and Down","All Jobs",32.4,40,37
"Median Hours Worked",2020,"Newry, Mourne and Down","Full Time",37.5,40,39.9
