"Statistic","Year","Local Government District","Working Pattern","All Persons","Females","Males"
"Number of Jobs (Thousands)",2023,"Causeway Coast and Glens","Full-Time",33,16,18
"Number of Jobs (Thousands)",2023,"Causeway Coast and Glens","Part-Time",12,9,NA
"Number of Jobs (Thousands)",2023,"Derry City and Strabane","All",63,33,30
"Number of Jobs (Thousands)",2023,"Derry City and Strabane","Full-Time",41,19,22
"Number of Jobs (Thousands)",2023,"Derry City and Strabane","Part-Time",22,14,8
"Number of Jobs (Thousands)",2023,"Fermanagh and Omagh","All",NA,24,NA
"Number of Jobs (Thousands)",2023,"Fermanagh and Omagh","Full-Time",NA,12,NA
"Number of Jobs (Thousands)",2023,"Fermanagh and Omagh","Part-Time",16,12,NA
"Number of Jobs (Thousands)",2023,"Lisburn and Castlereagh","All",63,32,31
"Number of Jobs (Thousands)",2023,"Lisburn and Castlereagh","Full-Time",44,18,26
"Number of Jobs (Thousands)",2023,"Lisburn and Castlereagh","Part-Time",20,15,NA
"Number of Jobs (Thousands)",2023,"Mid and East Antrim","All",50,25,25
"Number of Jobs (Thousands)",2023,"Mid and East Antrim","Full-Time",34,13,21
"Number of Jobs (Thousands)",2023,"Mid and East Antrim","Part-Time",16,12,NA
"Number of Jobs (Thousands)",2023,"Mid Ulster","All",62,25,38
"Number of Jobs (Thousands)",2023,"Mid Ulster","Full-Time",46,13,32
"Number of Jobs (Thousands)",2023,"Mid Ulster","Part-Time",17,12,NA
"Number of Jobs (Thousands)",2023,"Newry, Mourne and Down","All",63,35,28
"Number of Jobs (Thousands)",2023,"Newry, Mourne and Down","Full-Time",42,18,23
"Number of Jobs (Thousands)",2023,"Newry, Mourne and Down","Part-Time",21,16,NA
"Number of Jobs (Thousands)",2023,"Ards and North Down","All",44,26,18
"Number of Jobs (Thousands)",2023,"Ards and North Down","Full-Time",26,12,14
"Number of Jobs (Thousands)",2023,"Ards and North Down","Part-Time",18,14,NA
"Number of Jobs (Thousands)",2024,"Northern Ireland","All",832,425,407
"Number of Jobs (Thousands)",2024,"Northern Ireland","Full-Time",600,254,346
"Number of Jobs (Thousands)",2024,"Northern Ireland","Part-Time",232,171,61
"Number of Jobs (Thousands)",2024,"Antrim and Newtownabbey","All",56,30,25
"Number of Jobs (Thousands)",2024,"Antrim and Newtownabbey","Full-Time",41,19,22
"Number of Jobs (Thousands)",2024,"Antrim and Newtownabbey","Part-Time",14,12,NA
"Number of Jobs (Thousands)",2024,"Armagh City, Banbridge and Craigavon","All",83,46,37
"Number of Jobs (Thousands)",2024,"Armagh City, Banbridge and Craigavon","Full-Time",58,26,32
"Number of Jobs (Thousands)",2024,"Armagh City, Banbridge and Craigavon","Part-Time",26,20,NA
"Number of Jobs (Thousands)",2024,"Belfast","All",258,132,127
"Number of Jobs (Thousands)",2024,"Belfast","Full-Time",201,90,112
"Number of Jobs (Thousands)",2024,"Belfast","Part-Time",57,42,15
"Number of Jobs (Thousands)",2024,"Causeway Coast and Glens","All",45,23,22
"Number of Jobs (Thousands)",2024,"Causeway Coast and Glens","Full-Time",30,12,17
"Number of Jobs (Thousands)",2024,"Causeway Coast and Glens","Part-Time",15,11,NA
"Number of Jobs (Thousands)",2024,"Derry City and Strabane","All",60,30,30
"Number of Jobs (Thousands)",2024,"Derry City and Strabane","Full-Time",41,17,24
"Number of Jobs (Thousands)",2024,"Derry City and Strabane","Part-Time",19,13,NA
"Number of Jobs (Thousands)",2024,"Fermanagh and Omagh","All",42,22,21
"Number of Jobs (Thousands)",2024,"Fermanagh and Omagh","Full-Time",29,NA,17
"Number of Jobs (Thousands)",2024,"Fermanagh and Omagh","Part-Time",14,NA,NA
"Number of Jobs (Thousands)",2024,"Lisburn and Castlereagh","All",60,32,28
"Number of Jobs (Thousands)",2024,"Lisburn and Castlereagh","Full-Time",40,18,22
"Number of Jobs (Thousands)",2024,"Lisburn and Castlereagh","Part-Time",19,14,NA
"Number of Jobs (Thousands)",2024,"Mid and East Antrim","All",45,23,22
"Number of Jobs (Thousands)",2024,"Mid and East Antrim","Full-Time",32,NA,18
"Number of Jobs (Thousands)",2024,"Mid and East Antrim","Part-Time",14,NA,NA
"Number of Jobs (Thousands)",2024,"Mid Ulster","All",61,25,36
"Number of Jobs (Thousands)",2024,"Mid Ulster","Full-Time",46,14,32
"Number of Jobs (Thousands)",2024,"Mid Ulster","Part-Time",15,11,NA
"Number of Jobs (Thousands)",2024,"Newry, Mourne and Down","All",60,31,29
"Number of Jobs (Thousands)",2024,"Newry, Mourne and Down","Full-Time",40,17,23
"Number of Jobs (Thousands)",2024,"Newry, Mourne and Down","Part-Time",20,14,NA
"Number of Jobs (Thousands)",2024,"Ards and North Down","All",45,27,18
"Number of Jobs (Thousands)",2024,"Ards and North Down","Full-Time",27,13,14
"Number of Jobs (Thousands)",2024,"Ards and North Down","Part-Time",18,14,NA
"Number of Jobs (Thousands)",2025,"Northern Ireland","All",868,455,413
"Number of Jobs (Thousands)",2025,"Northern Ireland","Full-Time",622,269,353
"Number of Jobs (Thousands)",2025,"Northern Ireland","Part-Time",247,186,60
"Number of Jobs (Thousands)",2025,"Antrim and Newtownabbey","All",58,31,27
"Number of Jobs (Thousands)",2025,"Antrim and Newtownabbey","Full-Time",42,18,24
"Number of Jobs (Thousands)",2025,"Antrim and Newtownabbey","Part-Time",16,13,NA
"Number of Jobs (Thousands)",2025,"Armagh City, Banbridge and Craigavon","All",92,51,42
"Number of Jobs (Thousands)",2025,"Armagh City, Banbridge and Craigavon","Full-Time",64,30,34
"Number of Jobs (Thousands)",2025,"Armagh City, Banbridge and Craigavon","Part-Time",28,20,NA
"Number of Jobs (Thousands)",2025,"Belfast","All",273,144,129
"Number of Jobs (Thousands)",2025,"Belfast","Full-Time",210,97,113
"Number of Jobs (Thousands)",2025,"Belfast","Part-Time",63,48,16
"Number of Jobs (Thousands)",2025,"Causeway Coast and Glens","All",47,26,21
"Number of Jobs (Thousands)",2025,"Causeway Coast and Glens","Full-Time",30,14,16
"Number of Jobs (Thousands)",2025,"Causeway Coast and Glens","Part-Time",17,12,NA
"Number of Jobs (Thousands)",2025,"Derry City and Strabane","All",64,35,29
"Number of Jobs (Thousands)",2025,"Derry City and Strabane","Full-Time",44,19,25
"Number of Jobs (Thousands)",2025,"Derry City and Strabane","Part-Time",20,16,NA
"Number of Jobs (Thousands)",2025,"Fermanagh and Omagh","All",49,25,24
"Number of Jobs (Thousands)",2025,"Fermanagh and Omagh","Full-Time",33,13,21
"Number of Jobs (Thousands)",2025,"Fermanagh and Omagh","Part-Time",16,12,NA
"Number of Jobs (Thousands)",2025,"Lisburn and Castlereagh","All",67,35,32
"Number of Jobs (Thousands)",2025,"Lisburn and Castlereagh","Full-Time",47,20,27
"Number of Jobs (Thousands)",2025,"Lisburn and Castlereagh","Part-Time",20,15,NA
"Number of Jobs (Thousands)",2025,"Mid and East Antrim","All",46,NA,24
"Number of Jobs (Thousands)",2025,"Mid and East Antrim","Full-Time",33,12,21
"Number of Jobs (Thousands)",2025,"Mid and East Antrim","Part-Time",NA,NA,NA
"Number of Jobs (Thousands)",2025,"Mid Ulster","All",56,25,31
"Number of Jobs (Thousands)",2025,"Mid Ulster","Full-Time",40,14,27
"Number of Jobs (Thousands)",2025,"Mid Ulster","Part-Time",NA,NA,NA
"Number of Jobs (Thousands)",2025,"Newry, Mourne and Down","All",62,35,27
"Number of Jobs (Thousands)",2025,"Newry, Mourne and Down","Full-Time",40,NA,22
"Number of Jobs (Thousands)",2025,"Newry, Mourne and Down","Part-Time",22,17,NA
"Number of Jobs (Thousands)",2025,"Ards and North Down","All",44,26,18
"Number of Jobs (Thousands)",2025,"Ards and North Down","Full-Time",27,13,14
"Number of Jobs (Thousands)",2025,"Ards and North Down","Part-Time",17,13,NA
"Median Wage",2014,"Northern Ireland","All",19485,15365,22898
"Median Wage",2014,"Northern Ireland","Full-Time",24491,22821,25270
"Median Wage",2014,"Northern Ireland","Part-Time",8882,8897,8826
"Median Wage",2014,"Antrim and Newtownabbey","All",20234,18449,NA
"Median Wage",2014,"Antrim and Newtownabbey","Full-Time",NA,25420,NA
"Median Wage",2014,"Antrim and Newtownabbey","Part-Time",9863,NA,NA
"Median Wage",2014,"Armagh City, Banbridge and Craigavon","All",18009,14853,20805
"Median Wage",2014,"Armagh City, Banbridge and Craigavon","Full-Time",22705,22035,23444
"Median Wage",2014,"Armagh City, Banbridge and Craigavon","Part-Time",9231,9264,NA
"Median Wage",2014,"Belfast","All",22500,17405,27233
"Median Wage",2014,"Belfast","Full-Time",27408,25001,29423
"Median Wage",2014,"Belfast","Part-Time",10401,10067,11198
"Median Wage",2014,"Causeway Coast and Glens","All",16128,14415,18236
"Median Wage",2014,"Causeway Coast and Glens","Full-Time",20700,20427,20698
"Median Wage",2014,"Causeway Coast and Glens","Part-Time",NA,NA,NA
"Median Wage",2014,"Derry City and Strabane","All",18161,17019,18659
"Median Wage",2014,"Derry City and Strabane","Full-Time",23006,NA,21408
"Median Wage",2014,"Derry City and Strabane","Part-Time",9913,10330,8924
"Median Wage",2014,"Fermanagh and Omagh","All",15520,NA,18479
"Median Wage",2014,"Fermanagh and Omagh","Full-Time",21538,NA,21608
"Median Wage",2014,"Fermanagh and Omagh","Part-Time",7888,7918,NA
"Median Wage",2014,"Lisburn and Castlereagh","All",17616,13090,21200
"Median Wage",2014,"Lisburn and Castlereagh","Full-Time",22288,20724,22703
"Median Wage",2014,"Lisburn and Castlereagh","Part-Time",8261,NA,NA
"Median Wage",2014,"Mid and East Antrim","All",20161,NA,22743
"Median Wage",2014,"Mid and East Antrim","Full-Time",23925,NA,24860
"Median Wage",2014,"Mid and East Antrim","Part-Time",8704,9159,NA
"Median Wage",2014,"Mid Ulster","All",16789,12809,20664
"Median Wage",2014,"Mid Ulster","Full-Time",21545,18927,22497
"Median Wage",2014,"Mid Ulster","Part-Time",7601,NA,NA
"Median Wage",2014,"Newry, Mourne and Down","All",16074,12083,19924
"Median Wage",2014,"Newry, Mourne and Down","Full-Time",21203,19702,22428
"Median Wage",2014,"Newry, Mourne and Down","Part-Time",8173,7710,NA
"Median Wage",2014,"Ards and North Down","All",15737,NA,22831
"Median Wage",2014,"Ards and North Down","Full-Time",23414,20971,25186
"Median Wage",2014,"Ards and North Down","Part-Time",NA,NA,NA
"Median Wage",2015,"Northern Ireland","All",20348,16289,24001
"Median Wage",2015,"Northern Ireland","Full-Time",25719,23997,26491
"Median Wage",2015,"Northern Ireland","Part-Time",9184,9205,9093
"Median Wage",2015,"Antrim and Newtownabbey","All",20958,18128,25211
"Median Wage",2015,"Antrim and Newtownabbey","Full-Time",27039,25985,27279
"Median Wage",2015,"Antrim and Newtownabbey","Part-Time",9025,9117,NA
"Median Wage",2015,"Armagh City, Banbridge and Craigavon","All",18196,14161,21985
"Median Wage",2015,"Armagh City, Banbridge and Craigavon","Full-Time",22588,21772,23353
"Median Wage",2015,"Armagh City, Banbridge and Craigavon","Part-Time",NA,8955,NA
"Median Wage",2015,"Belfast","All",23782,19261,27438
"Median Wage",2015,"Belfast","Full-Time",28151,26433,29389
"Median Wage",2015,"Belfast","Part-Time",10574,10453,11528
"Median Wage",2015,"Causeway Coast and Glens","All",16043,14909,17284
"Median Wage",2015,"Causeway Coast and Glens","Full-Time",20865,22252,19953
"Median Wage",2015,"Causeway Coast and Glens","Part-Time",9126,9283,NA
"Median Wage",2015,"Derry City and Strabane","All",18115,16391,19835
"Median Wage",2015,"Derry City and Strabane","Full-Time",23463,24050,NA
"Median Wage",2015,"Derry City and Strabane","Part-Time",8497,8648,NA
"Median Wage",2015,"Fermanagh and Omagh","All",18006,NA,20315
"Median Wage",2015,"Fermanagh and Omagh","Full-Time",23214,22936,24367
"Median Wage",2015,"Fermanagh and Omagh","Part-Time",NA,NA,NA
"Median Wage",2015,"Lisburn and Castlereagh","All",18604,14585,21108
"Median Wage",2015,"Lisburn and Castlereagh","Full-Time",23949,22334,24037
"Median Wage",2015,"Lisburn and Castlereagh","Part-Time",8453,8640,NA
"Median Wage",2015,"Mid and East Antrim","All",21917,NA,24163
"Median Wage",2015,"Mid and East Antrim","Full-Time",24548,NA,25465
"Median Wage",2015,"Mid and East Antrim","Part-Time",NA,9225,NA
"Median Wage",2015,"Mid Ulster","All",18564,NA,21453
"Median Wage",2015,"Mid Ulster","Full-Time",21805,18657,22373
"Median Wage",2015,"Mid Ulster","Part-Time",NA,NA,NA
"Median Wage",2015,"Newry, Mourne and Down","All",18464,14405,20585
"Median Wage",2015,"Newry, Mourne and Down","Full-Time",22927,21367,24235
"Median Wage",2015,"Newry, Mourne and Down","Part-Time",8990,8438,9466
"Median Wage",2015,"Ards and North Down","All",16687,NA,NA
"Median Wage",2015,"Ards and North Down","Full-Time",22814,22530,23851
"Median Wage",2015,"Ards and North Down","Part-Time",NA,8785,NA
"Median Wage",2016,"Northern Ireland","All",20966,17307,24308
"Median Wage",2016,"Northern Ireland","Full-Time",25978,24602,26629
"Median Wage",2016,"Northern Ireland","Part-Time",9314,9602,8314
"Median Wage",2016,"Antrim and Newtownabbey","All",22149,20847,23361
"Median Wage",2016,"Antrim and Newtownabbey","Full-Time",27355,28286,25203
"Median Wage",2016,"Antrim and Newtownabbey","Part-Time",10128,10133,NA
"Median Wage",2016,"Armagh City, Banbridge and Craigavon","All",19270,15814,22611
"Median Wage",2016,"Armagh City, Banbridge and Craigavon","Full-Time",23131,21621,24271
"Median Wage",2016,"Armagh City, Banbridge and Craigavon","Part-Time",9127,9397,NA
"Median Wage",2016,"Belfast","All",23763,19268,28305
"Median Wage",2016,"Belfast","Full-Time",28896,27160,30516
"Median Wage",2016,"Belfast","Part-Time",10243,10084,10851
"Median Wage",2016,"Causeway Coast and Glens","All",15686,14627,16886
"Median Wage",2016,"Causeway Coast and Glens","Full-Time",20305,20615,19738
"Median Wage",2016,"Causeway Coast and Glens","Part-Time",8568,9068,8105
"Median Wage",2016,"Derry City and Strabane","All",18025,15749,19300
"Median Wage",2016,"Derry City and Strabane","Full-Time",23998,25605,21647
"Median Wage",2016,"Derry City and Strabane","Part-Time",8730,9072,NA
"Median Wage",2016,"Fermanagh and Omagh","All",18391,14398,22023
"Median Wage",2016,"Fermanagh and Omagh","Full-Time",NA,22517,NA
"Median Wage",2016,"Fermanagh and Omagh","Part-Time",8437,8484,NA
"Median Wage",2016,"Lisburn and Castlereagh","All",20134,16170,22764
"Median Wage",2016,"Lisburn and Castlereagh","Full-Time",25000,24248,25757
"Median Wage",2016,"Lisburn and Castlereagh","Part-Time",8625,8843,NA
"Median Wage",2016,"Mid and East Antrim","All",21724,15436,25294
"Median Wage",2016,"Mid and East Antrim","Full-Time",26540,23406,27797
"Median Wage",2016,"Mid and East Antrim","Part-Time",9707,9906,NA
"Median Wage",2016,"Mid Ulster","All",20197,15597,22158
"Median Wage",2016,"Mid Ulster","Full-Time",23337,20283,23887
"Median Wage",2016,"Mid Ulster","Part-Time",8443,8956,7546
"Median Wage",2016,"Newry, Mourne and Down","All",19091,14669,22211
"Median Wage",2016,"Newry, Mourne and Down","Full-Time",22898,20393,23887
"Median Wage",2016,"Newry, Mourne and Down","Part-Time",8575,9083,7579
"Median Wage",2016,"Ards and North Down","All",17719,14916,20664
"Median Wage",2016,"Ards and North Down","Full-Time",23711,23098,24458
"Median Wage",2016,"Ards and North Down","Part-Time",9218,9349,NA
"Median Wage",2017,"Northern Ireland","All",21215,17599,24324
"Median Wage",2017,"Northern Ireland","Full-Time",25935,24935,26716
"Median Wage",2017,"Northern Ireland","Part-Time",9871,10106,NA
"Median Wage",2017,"Antrim and Newtownabbey","All",22230,21002,26573
"Median Wage",2017,"Antrim and Newtownabbey","Full-Time",27090,26495,27726
"Median Wage",2017,"Antrim and Newtownabbey","Part-Time",10095,10366,NA
"Median Wage",2017,"Armagh City, Banbridge and Craigavon","All",20205,16411,23832
"Median Wage",2017,"Armagh City, Banbridge and Craigavon","Full-Time",24279,NA,24519
"Median Wage",2017,"Armagh City, Banbridge and Craigavon","Part-Time",10341,10476,NA
"Median Wage",2017,"Belfast","All",24388,20049,28330
"Median Wage",2017,"Belfast","Full-Time",28917,27052,30519
"Median Wage",2017,"Belfast","Part-Time",11159,11097,NA
"Median Wage",2017,"Causeway Coast and Glens","All",16616,15312,NA
"Median Wage",2017,"Causeway Coast and Glens","Full-Time",NA,20800,NA
"Median Wage",2017,"Causeway Coast and Glens","Part-Time",8533,9523,NA
"Median Wage",2017,"Derry City and Strabane","All",19455,18078,NA
"Median Wage",2017,"Derry City and Strabane","Full-Time",23826,25016,NA
"Median Wage",2017,"Derry City and Strabane","Part-Time",9696,9572,10236
"Median Wage",2017,"Fermanagh and Omagh","All",NA,NA,NA
"Median Wage",2017,"Fermanagh and Omagh","Full-Time",24380,NA,24890
"Median Wage",2017,"Fermanagh and Omagh","Part-Time",NA,NA,NA
"Median Wage",2017,"Lisburn and Castlereagh","All",20048,16455,NA
"Median Wage",2017,"Lisburn and Castlereagh","Full-Time",25135,25334,24652
"Median Wage",2017,"Lisburn and Castlereagh","Part-Time",9183,9193,NA
"Median Wage",2017,"Mid and East Antrim","All",20845,17814,23325
"Median Wage",2017,"Mid and East Antrim","Full-Time",25093,23245,25593
"Median Wage",2017,"Mid and East Antrim","Part-Time",9642,10309,NA
"Median Wage",2017,"Mid Ulster","All",20856,16248,22495
"Median Wage",2017,"Mid Ulster","Full-Time",23100,22730,23146
"Median Wage",2017,"Mid Ulster","Part-Time",9133,9579,NA
"Median Wage",2017,"Newry, Mourne and Down","All",18533,15120,22121
"Median Wage",2017,"Newry, Mourne and Down","Full-Time",22920,19320,24198
"Median Wage",2017,"Newry, Mourne and Down","Part-Time",NA,NA,NA
"Median Wage",2017,"Ards and North Down","All",NA,15190,NA
"Median Wage",2017,"Ards and North Down","Full-Time",24031,24314,NA
"Median Wage",2017,"Ards and North Down","Part-Time",8543,8631,NA
"Median Wage",2018,"Northern Ireland","All",22071,18078,25645
"Median Wage",2018,"Northern Ireland","Full-Time",27101,25644,28024
"Median Wage",2018,"Northern Ireland","Part-Time",10007,10248,9451
"Median Wage",2018,"Antrim and Newtownabbey","All",24226,22279,26418
"Median Wage",2018,"Antrim and Newtownabbey","Full-Time",28869,29325,28689
"Median Wage",2018,"Antrim and Newtownabbey","Part-Time",9072,9044,NA
"Median Wage",2018,"Armagh City, Banbridge and Craigavon","All",20838,17614,24476
"Median Wage",2018,"Armagh City, Banbridge and Craigavon","Full-Time",25257,24060,25906
"Median Wage",2018,"Armagh City, Banbridge and Craigavon","Part-Time",10799,11270,NA
"Median Wage",2018,"Belfast","All",25228,19886,29005
"Median Wage",2018,"Belfast","Full-Time",29859,27527,31224
"Median Wage",2018,"Belfast","Part-Time",10660,11111,9694
"Median Wage",2018,"Causeway Coast and Glens","All",18281,16955,19691
"Median Wage",2018,"Causeway Coast and Glens","Full-Time",21062,21326,20885
"Median Wage",2018,"Causeway Coast and Glens","Part-Time",NA,NA,NA
"Median Wage",2018,"Derry City and Strabane","All",19620,17160,21277
"Median Wage",2018,"Derry City and Strabane","Full-Time",23517,24287,22534
"Median Wage",2018,"Derry City and Strabane","Part-Time",9363,9295,NA
"Median Wage",2018,"Fermanagh and Omagh","All",19939,15970,24408
"Median Wage",2018,"Fermanagh and Omagh","Full-Time",25364,21404,27793
"Median Wage",2018,"Fermanagh and Omagh","Part-Time",10298,11164,NA
"Median Wage",2018,"Lisburn and Castlereagh","All",21503,18904,24626
"Median Wage",2018,"Lisburn and Castlereagh","Full-Time",26900,26454,27597
"Median Wage",2018,"Lisburn and Castlereagh","Part-Time",9814,9521,NA
"Median Wage",2018,"Mid and East Antrim","All",22150,NA,25600
"Median Wage",2018,"Mid and East Antrim","Full-Time",26326,23436,27700
"Median Wage",2018,"Mid and East Antrim","Part-Time",NA,9333,NA
"Median Wage",2018,"Mid Ulster","All",20875,16516,23298
"Median Wage",2018,"Mid Ulster","Full-Time",24168,20363,24471
"Median Wage",2018,"Mid Ulster","Part-Time",8445,9719,NA
"Median Wage",2018,"Newry, Mourne and Down","All",19670,16259,23068
"Median Wage",2018,"Newry, Mourne and Down","Full-Time",25247,24861,25794
"Median Wage",2018,"Newry, Mourne and Down","Part-Time",9618,10274,NA
"Median Wage",2018,"Ards and North Down","All",17493,15649,20775
"Median Wage",2018,"Ards and North Down","Full-Time",23410,23665,23364
"Median Wage",2018,"Ards and North Down","Part-Time",8617,8660,NA
"Median Wage",2019,"Northern Ireland","All",22459,18371,26537
"Median Wage",2019,"Northern Ireland","Full-Time",27437,25657,28896
"Median Wage",2019,"Northern Ireland","Part-Time",10563,10695,10189
"Median Wage",2019,"Antrim and Newtownabbey","All",22660,19846,25939
"Median Wage",2019,"Antrim and Newtownabbey","Full-Time",27973,28018,27686
"Median Wage",2019,"Antrim and Newtownabbey","Part-Time",10180,10077,NA
"Median Wage",2019,"Armagh City, Banbridge and Craigavon","All",21436,17604,25993
"Median Wage",2019,"Armagh City, Banbridge and Craigavon","Full-Time",26566,24603,27398
"Median Wage",2019,"Armagh City, Banbridge and Craigavon","Part-Time",10977,11014,NA
"Median Wage",2019,"Belfast","All",25649,20958,29946
"Median Wage",2019,"Belfast","Full-Time",30346,27371,31969
"Median Wage",2019,"Belfast","Part-Time",11991,11980,NA
"Median Wage",2019,"Causeway Coast and Glens","All",19462,NA,20539
"Median Wage",2019,"Causeway Coast and Glens","Full-Time",22800,NA,NA
"Median Wage",2019,"Causeway Coast and Glens","Part-Time",9182,9608,NA
"Median Wage",2019,"Derry City and Strabane","All",19436,NA,22097
"Median Wage",2019,"Derry City and Strabane","Full-Time",24776,NA,24601
"Median Wage",2019,"Derry City and Strabane","Part-Time",10155,9300,NA
"Median Wage",2019,"Fermanagh and Omagh","All",19908,16513,26186
"Median Wage",2019,"Fermanagh and Omagh","Full-Time",26844,25525,28161
"Median Wage",2019,"Fermanagh and Omagh","Part-Time",11694,13153,NA
"Median Wage",2019,"Lisburn and Castlereagh","All",21133,17659,26214
"Median Wage",2019,"Lisburn and Castlereagh","Full-Time",27471,26369,27926
"Median Wage",2019,"Lisburn and Castlereagh","Part-Time",10106,10282,NA
"Median Wage",2019,"Mid and East Antrim","All",21512,17163,26474
"Median Wage",2019,"Mid and East Antrim","Full-Time",26233,22669,28561
"Median Wage",2019,"Mid and East Antrim","Part-Time",10509,10711,NA
"Median Wage",2019,"Mid Ulster","All",21903,NA,25295
"Median Wage",2019,"Mid Ulster","Full-Time",25297,NA,26548
"Median Wage",2019,"Mid Ulster","Part-Time",9468,9608,NA
"Median Wage",2019,"Newry, Mourne and Down","All",20670,16642,25181
"Median Wage",2019,"Newry, Mourne and Down","Full-Time",25675,23320,26961
"Median Wage",2019,"Newry, Mourne and Down","Part-Time",10075,10036,NA
"Median Wage",2019,"Ards and North Down","All",18062,15815,22090
"Median Wage",2019,"Ards and North Down","Full-Time",24034,23118,24479
"Median Wage",2019,"Ards and North Down","Part-Time",9996,10207,NA
"Median Wage",2020,"Northern Ireland","All",23289,19258,27200
"Median Wage",2020,"Northern Ireland","Full-Time",28624,26900,29711
"Median Wage",2020,"Northern Ireland","Part-Time",10936,11097,10400
"Median Wage",2020,"Antrim and Newtownabbey","All",24021,21362,26604
"Median Wage",2020,"Antrim and Newtownabbey","Full-Time",29242,31175,28024
"Median Wage",2020,"Antrim and Newtownabbey","Part-Time",NA,NA,NA
"Median Wage",2020,"Armagh City, Banbridge and Craigavon","All",23115,19863,25913
"Median Wage",2020,"Armagh City, Banbridge and Craigavon","Full-Time",28404,28288,28940
"Median Wage",2020,"Armagh City, Banbridge and Craigavon","Part-Time",NA,NA,NA
"Median Wage",2020,"Belfast","All",26002,21653,30577
"Median Wage",2020,"Belfast","Full-Time",31449,28717,32878
"Median Wage",2020,"Belfast","Part-Time",11674,11975,NA
"Median Wage",2020,"Causeway Coast and Glens","All",20021,17194,22272
"Median Wage",2020,"Causeway Coast and Glens","Full-Time",23424,23069,23492
"Median Wage",2020,"Causeway Coast and Glens","Part-Time",10437,10465,NA
"Median Wage",2020,"Derry City and Strabane","All",19617,16576,23788
"Median Wage",2020,"Derry City and Strabane","Full-Time",27031,25773,27547
"Median Wage",2020,"Derry City and Strabane","Part-Time",10014,9488,12784
"Median Wage",2020,"Fermanagh and Omagh","All",20753,17829,NA
"Median Wage",2020,"Fermanagh and Omagh","Full-Time",26696,23206,28143
"Median Wage",2020,"Fermanagh and Omagh","Part-Time",NA,13474,NA
"Median Wage",2020,"Lisburn and Castlereagh","All",22091,18627,24383
"Median Wage",2020,"Lisburn and Castlereagh","Full-Time",27272,26619,29505
"Median Wage",2020,"Lisburn and Castlereagh","Part-Time",10484,10584,10223
"Median Wage",2020,"Mid and East Antrim","All",20991,16534,25249
"Median Wage",2020,"Mid and East Antrim","Full-Time",26106,22645,28778
"Median Wage",2020,"Mid and East Antrim","Part-Time",9820,10056,NA
"Median Wage",2020,"Mid Ulster","All",22265,16677,25781
"Median Wage",2020,"Mid Ulster","Full-Time",26145,22105,27391
"Median Wage",2020,"Mid Ulster","Part-Time",8617,9515,NA
"Median Wage",2020,"Newry, Mourne and Down","All",21903,18489,26728
"Median Wage",2020,"Newry, Mourne and Down","Full-Time",26822,25064,27611
"Median Wage",2020,"Newry, Mourne and Down","Part-Time",11216,11267,10623
"Median Wage",2020,"Ards and North Down","All",19252,16897,23989
"Median Wage",2020,"Ards and North Down","Full-Time",25892,23642,26674
"Median Wage",2020,"Ards and North Down","Part-Time",11000,11009,NA
"Median Wage",2021,"Northern Ireland","All",24099,20863,27211
"Median Wage",2021,"Northern Ireland","Full-Time",29073,27463,30000
"Median Wage",2021,"Northern Ireland","Part-Time",10881,11263,9955
"Median Wage",2021,"Antrim and Newtownabbey","All",24226,21711,27872
"Median Wage",2021,"Antrim and Newtownabbey","Full-Time",29182,28587,30210
"Median Wage",2021,"Antrim and Newtownabbey","Part-Time",10304,10467,NA
"Median Wage",2021,"Armagh City, Banbridge and Craigavon","All",23157,19255,25874
"Median Wage",2021,"Armagh City, Banbridge and Craigavon","Full-Time",28393,26260,29994
"Median Wage",2021,"Armagh City, Banbridge and Craigavon","Part-Time",11200,11757,NA
"Median Wage",2021,"Belfast","All",26911,24072,31273
"Median Wage",2021,"Belfast","Full-Time",31573,29272,32633
"Median Wage",2021,"Belfast","Part-Time",12163,12284,11442
"Median Wage",2021,"Causeway Coast and Glens","All",21000,NA,23022
"Median Wage",2021,"Causeway Coast and Glens","Full-Time",24178,24927,23739
"Median Wage",2021,"Causeway Coast and Glens","Part-Time",NA,NA,NA
"Median Wage",2021,"Derry City and Strabane","All",21065,18761,23293
"Median Wage",2021,"Derry City and Strabane","Full-Time",27047,30060,25753
"Median Wage",2021,"Derry City and Strabane","Part-Time",9981,9373,11158
"Median Wage",2021,"Fermanagh and Omagh","All",21435,18085,25537
"Median Wage",2021,"Fermanagh and Omagh","Full-Time",26046,23055,28034
"Median Wage",2021,"Fermanagh and Omagh","Part-Time",11714,12808,NA
"Median Wage",2021,"Lisburn and Castlereagh","All",NA,21038,NA
"Median Wage",2021,"Lisburn and Castlereagh","Full-Time",NA,26857,NA
"Median Wage",2021,"Lisburn and Castlereagh","Part-Time",10618,11812,NA
"Median Wage",2021,"Mid and East Antrim","All",21303,18467,24643
"Median Wage",2021,"Mid and East Antrim","Full-Time",26055,24456,27904
"Median Wage",2021,"Mid and East Antrim","Part-Time",10211,10491,NA
"Median Wage",2021,"Mid Ulster","All",23093,19276,25452
"Median Wage",2021,"Mid Ulster","Full-Time",25997,23585,27316
"Median Wage",2021,"Mid Ulster","Part-Time",9278,10482,NA
"Median Wage",2021,"Newry, Mourne and Down","All",20967,18445,23558
"Median Wage",2021,"Newry, Mourne and Down","Full-Time",25637,24680,26269
