"Statistic","Year","Local Government District","Working Pattern","All Persons","Females","Males"
"Number of Jobs (Thousands)",2015,"Newry, Mourne and Down","Full-Time",31,12,19
"Number of Jobs (Thousands)",2015,"Newry, Mourne and Down","Part-Time",18,13,NA
"Number of Jobs (Thousands)",2015,"Ards and North Down","All",33,22,NA
"Number of Jobs (Thousands)",2015,"Ards and North Down","Full-Time",18,10,9
"Number of Jobs (Thousands)",2015,"Ards and North Down","Part-Time",NA,NA,NA
"Number of Jobs (Thousands)",2016,"Northern Ireland","All",716,361,355
"Number of Jobs (Thousands)",2016,"Northern Ireland","Full-Time",509,206,303
"Number of Jobs (Thousands)",2016,"Northern Ireland","Part-Time",206,155,51
"Number of Jobs (Thousands)",2016,"Antrim and Newtownabbey","All",53,28,25
"Number of Jobs (Thousands)",2016,"Antrim and Newtownabbey","Full-Time",39,17,22
"Number of Jobs (Thousands)",2016,"Antrim and Newtownabbey","Part-Time",15,NA,NA
"Number of Jobs (Thousands)",2016,"Armagh City, Banbridge and Craigavon","All",74,37,37
"Number of Jobs (Thousands)",2016,"Armagh City, Banbridge and Craigavon","Full-Time",53,21,32
"Number of Jobs (Thousands)",2016,"Armagh City, Banbridge and Craigavon","Part-Time",21,16,NA
"Number of Jobs (Thousands)",2016,"Belfast","All",217,109,108
"Number of Jobs (Thousands)",2016,"Belfast","Full-Time",162,66,96
"Number of Jobs (Thousands)",2016,"Belfast","Part-Time",55,42,13
"Number of Jobs (Thousands)",2016,"Causeway Coast and Glens","All",36,23,13
"Number of Jobs (Thousands)",2016,"Causeway Coast and Glens","Full-Time",22,NA,10
"Number of Jobs (Thousands)",2016,"Causeway Coast and Glens","Part-Time",14,11,NA
"Number of Jobs (Thousands)",2016,"Derry City and Strabane","All",55,30,25
"Number of Jobs (Thousands)",2016,"Derry City and Strabane","Full-Time",37,17,20
"Number of Jobs (Thousands)",2016,"Derry City and Strabane","Part-Time",18,13,NA
"Number of Jobs (Thousands)",2016,"Fermanagh and Omagh","All",38,22,NA
"Number of Jobs (Thousands)",2016,"Fermanagh and Omagh","Full-Time",NA,11,NA
"Number of Jobs (Thousands)",2016,"Fermanagh and Omagh","Part-Time",14,11,NA
"Number of Jobs (Thousands)",2016,"Lisburn and Castlereagh","All",50,26,23
"Number of Jobs (Thousands)",2016,"Lisburn and Castlereagh","Full-Time",34,15,20
"Number of Jobs (Thousands)",2016,"Lisburn and Castlereagh","Part-Time",16,12,NA
"Number of Jobs (Thousands)",2016,"Mid and East Antrim","All",45,20,25
"Number of Jobs (Thousands)",2016,"Mid and East Antrim","Full-Time",33,11,22
"Number of Jobs (Thousands)",2016,"Mid and East Antrim","Part-Time",12,9,NA
"Number of Jobs (Thousands)",2016,"Mid Ulster","All",46,18,28
"Number of Jobs (Thousands)",2016,"Mid Ulster","Full-Time",34,10,24
"Number of Jobs (Thousands)",2016,"Mid Ulster","Part-Time",13,8,NA
"Number of Jobs (Thousands)",2016,"Newry, Mourne and Down","All",53,25,28
"Number of Jobs (Thousands)",2016,"Newry, Mourne and Down","Full-Time",37,14,23
"Number of Jobs (Thousands)",2016,"Newry, Mourne and Down","Part-Time",17,12,NA
"Number of Jobs (Thousands)",2016,"Ards and North Down","All",33,20,13
"Number of Jobs (Thousands)",2016,"Ards and North Down","Full-Time",20,10,11
"Number of Jobs (Thousands)",2016,"Ards and North Down","Part-Time",13,10,NA
"Number of Jobs (Thousands)",2017,"Northern Ireland","All",691,342,349
"Number of Jobs (Thousands)",2017,"Northern Ireland","Full-Time",498,195,302
"Number of Jobs (Thousands)",2017,"Northern Ireland","Part-Time",194,147,47
"Number of Jobs (Thousands)",2017,"Antrim and Newtownabbey","All",49,27,23
"Number of Jobs (Thousands)",2017,"Antrim and Newtownabbey","Full-Time",37,17,20
"Number of Jobs (Thousands)",2017,"Antrim and Newtownabbey","Part-Time",12,9,NA
"Number of Jobs (Thousands)",2017,"Armagh City, Banbridge and Craigavon","All",68,34,34
"Number of Jobs (Thousands)",2017,"Armagh City, Banbridge and Craigavon","Full-Time",48,18,30
"Number of Jobs (Thousands)",2017,"Armagh City, Banbridge and Craigavon","Part-Time",20,16,NA
"Number of Jobs (Thousands)",2017,"Belfast","All",205,99,106
"Number of Jobs (Thousands)",2017,"Belfast","Full-Time",157,62,95
"Number of Jobs (Thousands)",2017,"Belfast","Part-Time",48,37,NA
"Number of Jobs (Thousands)",2017,"Causeway Coast and Glens","All",35,21,NA
"Number of Jobs (Thousands)",2017,"Causeway Coast and Glens","Full-Time",24,11,NA
"Number of Jobs (Thousands)",2017,"Causeway Coast and Glens","Part-Time",12,10,NA
"Number of Jobs (Thousands)",2017,"Derry City and Strabane","All",52,30,22
"Number of Jobs (Thousands)",2017,"Derry City and Strabane","Full-Time",34,17,17
"Number of Jobs (Thousands)",2017,"Derry City and Strabane","Part-Time",19,13,NA
"Number of Jobs (Thousands)",2017,"Fermanagh and Omagh","All",35,19,16
"Number of Jobs (Thousands)",2017,"Fermanagh and Omagh","Full-Time",24,NA,14
"Number of Jobs (Thousands)",2017,"Fermanagh and Omagh","Part-Time",NA,NA,NA
"Number of Jobs (Thousands)",2017,"Lisburn and Castlereagh","All",49,25,24
"Number of Jobs (Thousands)",2017,"Lisburn and Castlereagh","Full-Time",34,13,20
"Number of Jobs (Thousands)",2017,"Lisburn and Castlereagh","Part-Time",NA,11,NA
"Number of Jobs (Thousands)",2017,"Mid and East Antrim","All",38,16,22
"Number of Jobs (Thousands)",2017,"Mid and East Antrim","Full-Time",28,9,19
"Number of Jobs (Thousands)",2017,"Mid and East Antrim","Part-Time",10,7,NA
"Number of Jobs (Thousands)",2017,"Mid Ulster","All",50,19,31
"Number of Jobs (Thousands)",2017,"Mid Ulster","Full-Time",37,10,27
"Number of Jobs (Thousands)",2017,"Mid Ulster","Part-Time",13,9,NA
"Number of Jobs (Thousands)",2017,"Newry, Mourne and Down","All",55,26,29
"Number of Jobs (Thousands)",2017,"Newry, Mourne and Down","Full-Time",37,13,24
"Number of Jobs (Thousands)",2017,"Newry, Mourne and Down","Part-Time",NA,NA,NA
"Number of Jobs (Thousands)",2017,"Ards and North Down","All",34,21,NA
"Number of Jobs (Thousands)",2017,"Ards and North Down","Full-Time",21,10,NA
"Number of Jobs (Thousands)",2017,"Ards and North Down","Part-Time",NA,11,NA
"Number of Jobs (Thousands)",2018,"Northern Ireland","All",652,327,326
"Number of Jobs (Thousands)",2018,"Northern Ireland","Full-Time",465,186,279
"Number of Jobs (Thousands)",2018,"Northern Ireland","Part-Time",187,140,47
"Number of Jobs (Thousands)",2018,"Antrim and Newtownabbey","All",48,25,23
"Number of Jobs (Thousands)",2018,"Antrim and Newtownabbey","Full-Time",35,15,20
"Number of Jobs (Thousands)",2018,"Antrim and Newtownabbey","Part-Time",12,10,NA
"Number of Jobs (Thousands)",2018,"Armagh City, Banbridge and Craigavon","All",65,33,32
"Number of Jobs (Thousands)",2018,"Armagh City, Banbridge and Craigavon","Full-Time",46,18,28
"Number of Jobs (Thousands)",2018,"Armagh City, Banbridge and Craigavon","Part-Time",19,15,NA
"Number of Jobs (Thousands)",2018,"Belfast","All",188,92,96
"Number of Jobs (Thousands)",2018,"Belfast","Full-Time",141,57,84
"Number of Jobs (Thousands)",2018,"Belfast","Part-Time",48,36,12
"Number of Jobs (Thousands)",2018,"Causeway Coast and Glens","All",31,18,14
"Number of Jobs (Thousands)",2018,"Causeway Coast and Glens","Full-Time",22,10,11
"Number of Jobs (Thousands)",2018,"Causeway Coast and Glens","Part-Time",NA,NA,NA
"Number of Jobs (Thousands)",2018,"Derry City and Strabane","All",45,26,19
"Number of Jobs (Thousands)",2018,"Derry City and Strabane","Full-Time",30,14,15
"Number of Jobs (Thousands)",2018,"Derry City and Strabane","Part-Time",16,12,NA
"Number of Jobs (Thousands)",2018,"Fermanagh and Omagh","All",35,19,16
"Number of Jobs (Thousands)",2018,"Fermanagh and Omagh","Full-Time",23,10,13
"Number of Jobs (Thousands)",2018,"Fermanagh and Omagh","Part-Time",12,9,NA
